,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Campinas (1991-1995)",884,39.8,43.9,..,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",11,5.3,5.3,0.03,"  Brazil, Campinas (1991-1995)",17,8.4,8.5,0.04,"  Brazil, Campinas (1991-1995)",67,37.5,37.7,0.19,"  Brazil, Campinas (1991-1995)",101,68.8,69.1,0.35,"  Brazil, Campinas (1991-1995)",112,98.4,99,0.49,"  Brazil, Campinas (1991-1995)",94,102.1,102.6,0.51,"  Brazil, Campinas (1991-1995)",90,117,117.7,0.59,"  Brazil, Campinas (1991-1995)",111,167.2,168.1,0.84,"  Brazil, Campinas (1991-1995)",92,178.4,179.4,0.9,"  Brazil, Campinas (1991-1995)",78,213.7,215,1.07,"  Brazil, Campinas (1991-1995)",68,..,..,..,"  Brazil, Campinas (1991-1995)",22,..,..,..,"  Brazil, Campinas (1991-1995)",16,..,..,..,
South America,"  Brazil, Goiania (1995-1998)",797,38.1,49.1,..,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",1,0.4,0.4,0,"  Brazil, Goiania (1995-1998)",8,3.9,3.9,0.02,"  Brazil, Goiania (1995-1998)",38,20.1,20.1,0.1,"  Brazil, Goiania (1995-1998)",66,40.4,40.4,0.2,"  Brazil, Goiania (1995-1998)",114,83.5,83.5,0.42,"  Brazil, Goiania (1995-1998)",114,108.7,108.7,0.54,"  Brazil, Goiania (1995-1998)",106,135.7,135.7,0.68,"  Brazil, Goiania (1995-1998)",95,162.1,162.1,0.81,"  Brazil, Goiania (1995-1998)",76,157.3,157.3,0.79,"  Brazil, Goiania (1995-1998)",67,187.3,187.3,0.94,"  Brazil, Goiania (1995-1998)",57,234.3,234.3,1.17,"  Brazil, Goiania (1995-1998)",24,156.8,156.8,0.78,"  Brazil, Goiania (1995-1998)",18,..,..,..,"  Brazil, Goiania (1995-1998)",13,..,..,..,
South America,"  Colombia, Cali (1992-1996)",1306,29.6,37.3,..,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",3,0.6,0.7,0,"  Colombia, Cali (1992-1996)",14,3,3.1,0.02,"  Colombia, Cali (1992-1996)",51,12,12.5,0.06,"  Colombia, Cali (1992-1996)",94,27.4,28.6,0.14,"  Colombia, Cali (1992-1996)",142,56.1,58.5,0.29,"  Colombia, Cali (1992-1996)",187,97.8,102.1,0.51,"  Colombia, Cali (1992-1996)",137,83.2,86.8,0.43,"  Colombia, Cali (1992-1996)",150,113.9,118.8,0.59,"  Colombia, Cali (1992-1996)",149,124.9,130.3,0.65,"  Colombia, Cali (1992-1996)",99,123.1,128.4,0.64,"  Colombia, Cali (1992-1996)",105,175.7,183.3,0.92,"  Colombia, Cali (1992-1996)",58,150.8,157.3,0.79,"  Colombia, Cali (1992-1996)",38,149.1,155.5,0.78,"  Colombia, Cali (1992-1996)",25,129.7,135.3,..,
South America,  Costa Rica (1995-1996),819,23.7,30.9,..,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),3,1,1,0.01,  Costa Rica (1995-1996),5,1.7,1.7,0.01,  Costa Rica (1995-1996),31,10.7,10.7,0.05,  Costa Rica (1995-1996),55,22,22,0.11,  Costa Rica (1995-1996),97,48.9,48.9,0.24,  Costa Rica (1995-1996),122,81.3,81.3,0.41,  Costa Rica (1995-1996),95,82.8,82.8,0.41,  Costa Rica (1995-1996),90,95.4,95.4,0.48,  Costa Rica (1995-1996),73,94,94,0.47,  Costa Rica (1995-1996),84,128.9,128.9,0.64,  Costa Rica (1995-1996),61,128.7,128.7,0.64,  Costa Rica (1995-1996),40,123.4,123.4,0.62,  Costa Rica (1995-1996),37,157.4,157.4,0.79,  Costa Rica (1995-1996),26,151.2,151.2,..,
South America,"  Cuba, Villa Clara (1995-1997)",451,36,28.9,..,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",1,0.9,0.9,0,"  Cuba, Villa Clara (1995-1997)",5,3.9,3.9,0.02,"  Cuba, Villa Clara (1995-1997)",14,10.8,10.9,0.05,"  Cuba, Villa Clara (1995-1997)",20,22.8,23.1,0.12,"  Cuba, Villa Clara (1995-1997)",34,45.1,45.8,0.23,"  Cuba, Villa Clara (1995-1997)",47,62.2,63.1,0.32,"  Cuba, Villa Clara (1995-1997)",43,60.6,61.4,0.31,"  Cuba, Villa Clara (1995-1997)",54,86.5,87.7,0.44,"  Cuba, Villa Clara (1995-1997)",43,86.4,87.5,0.44,"  Cuba, Villa Clara (1995-1997)",57,134.8,136.6,0.68,"  Cuba, Villa Clara (1995-1997)",46,133,134.7,0.67,"  Cuba, Villa Clara (1995-1997)",39,121.4,123,0.62,"  Cuba, Villa Clara (1995-1997)",21,..,..,..,"  Cuba, Villa Clara (1995-1997)",21,..,..,..,
South America,"  Ecuador, Quito (1993-1997)",665,18.2,26.5,..,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",3,0.7,0.7,0,"  Ecuador, Quito (1993-1997)",6,1.6,1.6,0.01,"  Ecuador, Quito (1993-1997)",25,7.9,8,0.04,"  Ecuador, Quito (1993-1997)",49,19.5,19.6,0.1,"  Ecuador, Quito (1993-1997)",81,43.3,43.6,0.22,"  Ecuador, Quito (1993-1997)",109,77.5,78,0.39,"  Ecuador, Quito (1993-1997)",85,76.5,77,0.38,"  Ecuador, Quito (1993-1997)",68,77.2,77.6,0.39,"  Ecuador, Quito (1993-1997)",59,76.7,77.1,0.39,"  Ecuador, Quito (1993-1997)",56,97.1,97.7,0.49,"  Ecuador, Quito (1993-1997)",52,120.9,121.7,0.61,"  Ecuador, Quito (1993-1997)",30,97.4,98,0.49,"  Ecuador, Quito (1993-1997)",27,125.3,126,0.63,"  Ecuador, Quito (1993-1997)",11,63.5,63.9,..,
South America,"  France, Martinique (1993-1997)",484,49.7,40.3,..,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",7,8.7,8.7,0.04,"  France, Martinique (1993-1997)",22,27.5,27.5,0.14,"  France, Martinique (1993-1997)",35,45.1,45.1,0.23,"  France, Martinique (1993-1997)",56,85.3,85.3,0.43,"  France, Martinique (1993-1997)",61,108,108,0.54,"  France, Martinique (1993-1997)",54,108.4,108.4,0.54,"  France, Martinique (1993-1997)",51,122.2,122.2,0.61,"  France, Martinique (1993-1997)",45,110.5,110.5,0.55,"  France, Martinique (1993-1997)",48,134.7,134.7,0.67,"  France, Martinique (1993-1997)",34,115.5,115.5,0.58,"  France, Martinique (1993-1997)",32,131.5,131.5,0.66,"  France, Martinique (1993-1997)",20,127.2,127.2,0.64,"  France, Martinique (1993-1997)",19,123.4,123.4,..,
South America,"  Uruguay, Montevideo (1993-1995)",3679,171.7,114.9,..,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",1,0.6,0.6,0,"  Uruguay, Montevideo (1993-1995)",19,12.8,12.9,0.06,"  Uruguay, Montevideo (1993-1995)",56,39.5,39.6,0.2,"  Uruguay, Montevideo (1993-1995)",109,77.6,77.9,0.39,"  Uruguay, Montevideo (1993-1995)",208,160.8,161.4,0.81,"  Uruguay, Montevideo (1993-1995)",316,266.9,267.8,1.34,"  Uruguay, Montevideo (1993-1995)",353,303.1,304.2,1.52,"  Uruguay, Montevideo (1993-1995)",429,378,379.3,1.9,"  Uruguay, Montevideo (1993-1995)",479,424.5,426,2.13,"  Uruguay, Montevideo (1993-1995)",491,451.2,452.8,2.26,"  Uruguay, Montevideo (1993-1995)",468,517.5,519.4,2.6,"  Uruguay, Montevideo (1993-1995)",342,509.3,511.1,2.56,"  Uruguay, Montevideo (1993-1995)",250,516.7,518.5,2.59,"  Uruguay, Montevideo (1993-1995)",145,374.7,376,..,
South America,"  USA, Puerto Rico (1992-1993)",2091,56,49.7,..,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",5,1.7,1.7,0.01,"  USA, Puerto Rico (1992-1993)",16,5.5,5.5,0.03,"  USA, Puerto Rico (1992-1993)",72,25.9,26,0.13,"  USA, Puerto Rico (1992-1993)",104,40.1,40.2,0.2,"  USA, Puerto Rico (1992-1993)",203,81.9,81.9,0.41,"  USA, Puerto Rico (1992-1993)",263,124.7,124.8,0.62,"  USA, Puerto Rico (1992-1993)",235,133.1,133.2,0.67,"  USA, Puerto Rico (1992-1993)",245,158.4,158.5,0.79,"  USA, Puerto Rico (1992-1993)",225,163.4,163.6,0.82,"  USA, Puerto Rico (1992-1993)",218,175.7,175.8,0.88,"  USA, Puerto Rico (1992-1993)",199,208.8,209,1.04,"  USA, Puerto Rico (1992-1993)",141,186.2,186.4,0.93,"  USA, Puerto Rico (1992-1993)",95,227,227.2,1.14,"  USA, Puerto Rico (1992-1993)",68,159.3,159.5,..,
,,12497,630.6,562.7,0,0,1,1.1,1.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12.2,12.3,0.05,0,100,64.6,64.9,0.33,0,336,187.9,188.9,0.94,0,653,432.9,435.4,2.19,0,1117,844.3,849,4.25,0,1454,1325.3,1333.3,6.66,0,1325,1445.1,1452.4,7.25,0,1407,1725.7,1735.2,8.68,0,1416,1855.8,1866.3,9.34,0,1388,2167.5,2179.3,10.89,0,1289,2701.4,2716.5,13.57,0,902,1476.8,1487.5,7.45,0,604,1302.7,1311.8,6.57,0,397,1001.8,1009.3,0,
