,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Ecuador, Quito (1985-1987)",2,0.1,0.1,..,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",1,0.7,0.7,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",1,1.2,1.2,0.01,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,..,..,..,"  Ecuador, Quito (1985-1987)",0,..,..,..,"  Ecuador, Quito (1985-1987)",0,..,..,..,
South America,"  France, Martinique (1983-1987)",3,0.4,0.4,..,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",2,9.1,9.1,0.05,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,..,..,..,"  France, Martinique (1983-1987)",0,..,..,..,"  France, Martinique (1983-1987)",1,..,..,..,
South America,"  Paraguay, Asuncion Region (1988-1989)",1,0.1,0.1,..,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",1,3.4,3.4,0.02,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,..,
South America,"  Peru, Trujillo (1984-1987)",0,0,0,..,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,..,
South America,"  USA, Puerto Rico (1983-1987)",25,0.3,0.3,..,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",4,1,1,0.01,"  USA, Puerto Rico (1983-1987)",1,0.3,0.3,0,"  USA, Puerto Rico (1983-1987)",2,0.6,0.6,0,"  USA, Puerto Rico (1983-1987)",1,0.3,0.3,0,"  USA, Puerto Rico (1983-1987)",5,1.9,1.9,0.01,"  USA, Puerto Rico (1983-1987)",6,2.8,2.8,0.01,"  USA, Puerto Rico (1983-1987)",3,2,2,0.01,"  USA, Puerto Rico (1983-1987)",1,1.4,1.4,0.01,"  USA, Puerto Rico (1983-1987)",2,3.3,3.3,..,
South America,,65,1.9,2.5,0,,0,0,0,0,,0,0,0,0,,1,0.2,0.2,0,,0,0,0,0,,0,0,0,0,,1,0.7,0.7,0,,1,0.3,0.3,0,,3,3.3,3.3,0.02,,2,0.6,0.7,0,,7,5.7,5.7,0.03,,3,1.8,1.8,0,,2,0.6,0.6,0,,6,4.9,5.1,0.03,,15,23,23.1,0.12,,8,7.8,7.8,0.04,,7,14.1,14.2,0.08,,3,65.3,65.3,0.33,,5,20.5,20.8,0,
North America,Bermuda: Black (1983-1987),1,1.3,1.3,..,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),1,256.4,256.4,1.28,Bermuda: Black (1983-1987),0,0,0,..,
North America,  Bermuda: White (1983-1987),0,0,0,..,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,..,
North America,  Canada (1983-1987),437,0.7,0.6,..,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),1,0,0,0,  Canada (1983-1987),2,0,0,0,  Canada (1983-1987),2,0,0,0,  Canada (1983-1987),4,0.1,0.1,0,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),12,0.3,0.3,0,  Canada (1983-1987),16,0.5,0.5,0,  Canada (1983-1987),29,0.9,0.9,0,  Canada (1983-1987),57,1.9,2,0.01,  Canada (1983-1987),72,2.8,2.8,0.01,  Canada (1983-1987),75,3.7,3.7,0.02,  Canada (1983-1987),55,3.5,3.5,0.02,  Canada (1983-1987),57,5.6,5.7,0.03,  Canada (1983-1987),33,5.9,6,0.03,  Canada (1983-1987),20,5.9,6,..,
North America,"  USA, California, Alameda County: Black (1983-1987)",3,0.6,0.6,..,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",1,3.5,3.5,0.02,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",1,4.7,4.7,0.02,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",1,6.5,6.5,0.03,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,..,
