,Breast(C50)-Male age 0-85+,,,,,,,,age 0-4,,,,,,,,age 5-9,,,,,,,,age 10-14,,,,,,,,age 15-19,,,,,,,,age 20-24,,,,,,,,age 25-29,,,,,,,,age 30-34,,,,,,,,age 35-39,,,,,,,age 40-44,,,,,,,,,age 45-49,,,,,,,age 50-54,,,,,,,,age 55-59,,,,,,,,age 60-64,,,,,,,,age 65-69,,,,,,,,age 70-74,,,,,,,,age 75-79,,,,,,,,age 80-84,,,,,,,,age 85+,,,,,,,,
Continent,Population,Cases,Crude Rate,Std Dev,ASR ,(W),Cumulative Rate,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR(W) ,Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
North America,"*Canada, Newfoundland and Labrador",14,1.10,0.29,0.60,0.150,NULL,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",2,1.90,1.33,1.90,1.33,0.010,0.007,"*Canada, Newfoundland and Labrador",1,1.00,0.96,1.00,0.96,0.000,0.005,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Newfoundland and Labrador",5,7.50,3.34,7.50,3.34,0.040,0.017,"*Canada, Newfoundland and Labrador",2,4.20,3.00,4.20,3.00,0.020,0.015,"*Canada, Newfoundland and Labrador",3,9.10,5.25,9.10,5.25,0.050,0.026,"*Canada, Newfoundland and Labrador",1,5.00,4.96,5.00,4.96,0.020,0.025,"*Canada, Newfoundland and Labrador",0,0.00,0.00,0.00,0.00,NULL,NULL,
North America,"*Canada, Northwest Territories",1,0.90,0.90,0.60,0.610,NULL,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",1,12.10,12.11,12.10,12.11,0.060,0.061,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Northwest Territories",0,0.00,0.00,0.00,0.00,NULL,NULL,
North America,"*Canada, Nova Scotia",44,1.90,0.29,1.00,0.160,NULL,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",1,0.70,0.70,0.70,0.70,0.000,0.004,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nova Scotia",3,1.60,0.91,1.60,0.91,0.010,0.005,"*Canada, Nova Scotia",4,2.10,1.06,2.10,1.06,0.010,0.005,"*Canada, Nova Scotia",8,4.70,1.66,4.70,1.66,0.020,0.008,"*Canada, Nova Scotia",5,3.20,1.43,3.20,1.43,0.020,0.007,"*Canada, Nova Scotia",5,4.30,1.93,4.30,1.93,0.020,0.010,"*Canada, Nova Scotia",4,4.70,2.37,4.70,2.37,0.020,0.012,"*Canada, Nova Scotia",7,11.40,4.32,11.40,4.32,0.060,0.022,"*Canada, Nova Scotia",5,12.60,5.64,12.60,5.64,0.060,0.028,"*Canada, Nova Scotia",2,6.60,4.64,6.60,4.64,NULL,NULL,
North America,"*Canada, Nunavut",0,0.00,0.00,0.00,0.000,NULL,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Nunavut",0,0.00,0.00,0.00,0.00,NULL,NULL,
North America,"*Canada, Ontario",378,1.20,0.06,0.70,0.040,NULL,"*Canada, Ontario",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Ontario",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Ontario",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Ontario",1,0.00,0.04,0.00,0.04,0.000,0.000,"*Canada, Ontario",1,0.00,0.04,0.00,0.04,0.000,0.000,"*Canada, Ontario",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Ontario",1,0.00,0.05,0.00,0.05,0.000,0.000,"*Canada, Ontario",4,0.20,0.09,0.20,0.09,0.000,0.000,"*Canada, Ontario",10,0.40,0.13,0.40,0.13,0.000,0.001,"*Canada, Ontario",9,0.30,0.11,0.30,0.11,0.000,0.001,"*Canada, Ontario",31,1.20,0.22,1.20,0.22,0.010,0.001,"*Canada, Ontario",39,1.90,0.30,1.90,0.30,0.010,0.001,"*Canada, Ontario",58,3.20,0.43,3.20,0.43,0.020,0.002,"*Canada, Ontario",52,3.90,0.54,3.90,0.54,0.020,0.003,"*Canada, Ontario",58,5.80,0.76,5.80,0.76,0.030,0.004,"*Canada, Ontario",54,6.80,0.93,6.80,0.93,0.030,0.005,"*Canada, Ontario",34,6.20,1.06,6.20,1.06,0.030,0.005,"*Canada, Ontario",26,6.80,1.34,6.80,1.34,NULL,NULL,
North America,"*Canada, Prince Edward Island",4,1.20,0.58,0.60,0.300,NULL,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",3,12.50,7.23,12.50,7.23,0.060,0.036,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Prince Edward Island",1,16.90,16.94,16.90,16.94,0.080,0.085,"*Canada, Prince Edward Island",0,0.00,0.00,0.00,0.00,NULL,NULL,
North America," Canada, Saskatchewan",31,1.20,0.21,0.70,0.130,NULL," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",1,0.60,0.61,0.60,0.61,0.000,0.003," Canada, Saskatchewan",0,0.00,0.00,0.00,0.00,0.000,0.000," Canada, Saskatchewan",2,1.00,0.72,1.00,0.72,0.010,0.004," Canada, Saskatchewan",3,1.50,0.88,1.50,0.88,0.010,0.004," Canada, Saskatchewan",1,0.60,0.58,0.60,0.58,0.000,0.003," Canada, Saskatchewan",2,1.50,1.03,1.50,1.03,0.010,0.005," Canada, Saskatchewan",4,4.00,1.98,4.00,1.98,0.020,0.010," Canada, Saskatchewan",5,6.30,2.81,6.30,2.81,0.030,0.014," Canada, Saskatchewan",4,6.00,3.02,6.00,3.02,0.030,0.015," Canada, Saskatchewan",4,8.00,3.99,8.00,3.99,0.040,0.020," Canada, Saskatchewan",5,11.90,5.34,11.90,5.34,NULL,NULL,
North America,"*Canada, Yukon",1,1.10,1.13,0.80,0.840,NULL,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",1,84.30,84.32,84.30,84.32,0.420,0.422,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Canada, Yukon",0,0.00,0.00,0.00,0.00,NULL,NULL,
North America, USA,10126,1.30,0.01,0.90,0.010,NULL, USA,0,0.00,0.00,0.00,0.00,0.000,0.000, USA,2,0.00,0.00,0.00,0.00,0.000,0.000, USA,1,0.00,0.00,0.00,0.00,0.000,0.000, USA,2,0.00,0.00,0.00,0.00,0.000,0.000, USA,7,0.00,0.00,0.00,0.00,0.000,0.000, USA,18,0.00,0.01,0.00,0.01,0.000,0.000, USA,59,0.10,0.02,0.10,0.02,0.000,0.000, USA,133,0.30,0.02,0.30,0.02,0.000,0.000, USA,293,0.60,0.03,0.60,0.03,0.000,0.000, USA,520,0.90,0.04,0.90,0.04,0.000,0.000, USA,767,1.40,0.05,1.40,0.05,0.010,0.000, USA,1082,2.30,0.07,2.30,0.07,0.010,0.000, USA,1354,3.40,0.09,3.40,0.09,0.020,0.000, USA,1536,5.20,0.13,5.20,0.13,0.030,0.001, USA,1327,6.20,0.17,6.20,0.17,0.030,0.001, USA,1212,7.60,0.22,7.60,0.22,0.040,0.001, USA,980,8.50,0.27,8.50,0.27,0.040,0.001, USA,833,9.20,0.32,9.20,0.32,NULL,NULL,
,,10837,14.20,4.12,8.40,2.620,0.000,,0.00,0.00,0.00,0.00,0.00,0.000,0.000,,2.00,0.00,0.00,0.00,0.00,0.000,0.000,,1.00,0.00,0.00,0.00,0.00,0.000,0.000,,3.00,0.00,0.04,0.00,0.04,0.000,0.000,,9.00,0.10,0.18,0.10,0.18,0.000,0.001,,19.00,0.70,0.71,0.70,0.71,0.000,0.004,,61.00,0.60,0.57,0.60,0.57,0.000,0.003,,141.00,2.20,1.56,2.20,1.56,0.000,0.008,,304.00,1.10,0.28,1.10,0.28,0.000,0.002,,542.00,5.10,2.67,5.10,2.67,0.020,0.014,,821.00,24.10,17.91,24.10,17.91,0.120,0.089,,1150.00,14.70,5.91,14.70,5.91,0.070,0.029,,1459.00,36.50,14.90,36.50,14.90,0.190,0.073,,1634.00,38.70,13.42,38.70,13.42,0.200,0.068,,1430.00,46.10,16.73,46.10,16.73,0.220,0.085,,1316.00,147.40,106.78,147.40,106.78,0.740,0.534,,1051.00,86.40,46.09,86.40,46.09,0.420,0.230,,894.00,75.00,29.12,75.00,29.12,0.000,0.000,
Asia,Bahrain: Bahraini,10,0.70,0.22,1.00,0.340,NULL,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000, Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,2,2.40,1.72,2.40,1.72,0.010,0.009,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000,Bahrain: Bahraini,0,0.00,0.00,0.00,0.00,0.000,0.000, Bahrain: Bahraini,2,3.80,2.67,3.80,2.67,0.020,0.013,Bahrain: Bahraini,2,6.10,4.32,6.10,4.32,0.030,0.022,Bahrain: Bahraini,1,4.80,4.76,4.80,4.76,0.020,0.024,Bahrain: Bahraini,2,12.50,8.87,12.50,8.87,0.060,0.044,Bahrain: Bahraini,0,..,,..,,..,,Bahrain: Bahraini,1,..,,..,,..,, Bahrain: Bahraini,0,..,,..,,NULL,NULL,
Asia, Brunei Darussalam,0,0.00,0.00,0.00,0.000,NULL, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,0.000,0.000, Brunei Darussalam,0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," China, Anshan City",23,0.60,0.13,0.40,0.090,NULL," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",1,0.40,0.40,0.40,0.40,0.000,0.002," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",3,0.90,0.53,0.90,0.53,0.000,0.003," China, Anshan City",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Anshan City",2,0.50,0.34,0.50,0.34,0.000,0.002," China, Anshan City",3,0.90,0.50,0.90,0.50,0.000,0.003," China, Anshan City",4,1.50,0.76,1.50,0.76,0.010,0.004," China, Anshan City",2,1.20,0.85,1.20,0.85,0.010,0.004," China, Anshan City",1,0.70,0.74,0.70,0.74,0.000,0.004," China, Anshan City",3,2.40,1.41,2.40,1.41,0.010,0.007," China, Anshan City",2,2.30,1.65,2.30,1.65,0.010,0.008," China, Anshan City",1,2.30,2.28,2.30,2.28,0.010,0.011," China, Anshan City",1,5.00,5.05,5.00,5.05,NULL,NULL,
Asia," China, Beijing",90,0.50,0.05,0.20,0.030,NULL," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Beijing",5,0.30,0.12,0.30,0.12,0.000,0.001," China, Beijing",10,0.50,0.17,0.50,0.17,0.000,0.001," China, Beijing",10,0.70,0.21,0.70,0.21,0.000,0.001," China, Beijing",10,1.10,0.34,1.10,0.34,0.010,0.002," China, Beijing",11,1.60,0.49,1.60,0.49,0.010,0.002," China, Beijing",11,1.40,0.43,1.40,0.43,0.010,0.002," China, Beijing",16,2.30,0.58,2.30,0.58,0.010,0.003," China, Beijing",10,2.50,0.80,2.50,0.80,0.010,0.004," China, Beijing",7,2.80,1.05,2.80,1.05,NULL,NULL,
Asia," China, Benxi",9,0.50,0.16,0.40,0.130,NULL," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",3,1.80,1.02,1.80,1.02,0.010,0.005," China, Benxi",1,1.10,1.05,1.10,1.05,0.010,0.005," China, Benxi",1,1.40,1.43,1.40,1.43,0.010,0.007," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",1,1.40,1.42,1.40,1.42,0.010,0.007," China, Benxi",3,5.80,3.32,5.80,3.32,0.030,0.017," China, Benxi",0,0.0 (0.00),,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Benxi",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," China, Cixian County",0,0.00,0.00,0.00,0.000,NULL," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Cixian County",0,0.00,0.00,0.00,0.00,NULL,NULL,
Asia," China, Guangzhou",71,0.60,0.07,0.40,0.050,NULL," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guangzhou",4,0.40,0.19,0.40,0.19,0.000,0.001," China, Guangzhou",4,0.40,0.19,0.40,0.19,0.000,0.001," China, Guangzhou",6,0.60,0.24,0.60,0.24,0.000,0.001," China, Guangzhou",14,1.70,0.46,1.70,0.46,0.010,0.002," China, Guangzhou",10,1.30,0.41,1.30,0.41,0.010,0.002," China, Guangzhou",10,1.80,0.58,1.80,0.58,0.010,0.003," China, Guangzhou",5,1.40,0.61,1.40,0.61,0.010,0.003," China, Guangzhou",4,1.30,0.64,1.30,0.64,0.010,0.003," China, Guangzhou",6,2.30,0.96,2.30,0.96,0.010,0.005," China, Guangzhou",5,3.40,1.54,3.40,1.54,0.020,0.008," China, Guangzhou",3,3.90,2.25,3.90,2.25,NULL,NULL,
Asia," China, Guanyun",16,0.60,0.15,0.50,0.120,NULL," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",3,1.40,0.82,1.40,0.82,0.010,0.004," China, Guanyun",1,0.50,0.51,0.50,0.51,0.000,0.003," China, Guanyun",1,0.50,0.51,0.50,0.51,0.000,0.003," China, Guanyun",2,1.10,0.78,1.10,0.78,0.010,0.004," China, Guanyun",2,1.20,0.82,1.20,0.82,0.010,0.004," China, Guanyun",2,2.00,1.44,2.00,1.44,0.010,0.007," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",1,1.80,1.77,1.80,1.77,0.010,0.009," China, Guanyun",1,2.50,2.48,2.50,2.48,0.010,0.012," China, Guanyun",0,0.00,0.00,0.00,0.00,0.000,0.000," China, Guanyun",3,16.90,9.76,16.90,9.76,NULL,NULL,
