,Breast(C50)-male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Goiania (1999-2002)",10,0.5,0.8,..,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",1,0.7,0.8,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",2,2.4,2.6,0.01,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",2,4.3,4.8,0.02,"  Brazil, Goiania (1999-2002)",2,6.1,6.8,0.03,"  Brazil, Goiania (1999-2002)",1,4.4,4.9,0.02,"  Brazil, Goiania (1999-2002)",1,7.3,8.1,0.04,"  Brazil, Goiania (1999-2002)",0,..,..,..,"  Brazil, Goiania (1999-2002)",0,..,..,..,
South America,"  Brazil, Sao Paulo (1998-2002)",211,0.9,1,..,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",2,0.1,0.1,0,"  Brazil, Sao Paulo (1998-2002)",7,0.3,0.4,0,"  Brazil, Sao Paulo (1998-2002)",9,0.5,0.5,0,"  Brazil, Sao Paulo (1998-2002)",11,0.6,0.7,0,"  Brazil, Sao Paulo (1998-2002)",17,1.2,1.3,0.01,"  Brazil, Sao Paulo (1998-2002)",18,1.6,1.7,0.01,"  Brazil, Sao Paulo (1998-2002)",17,2,2.2,0.01,"  Brazil, Sao Paulo (1998-2002)",24,3.6,3.8,0.02,"  Brazil, Sao Paulo (1998-2002)",24,4.7,5,0.03,"  Brazil, Sao Paulo (1998-2002)",25,6.6,7,0.03,"  Brazil, Sao Paulo (1998-2002)",22,..,..,..,"  Brazil, Sao Paulo (1998-2002)",17,..,..,..,"  Brazil, Sao Paulo (1998-2002)",6,..,..,..,
South America,"  Chile, Valdivia (1998-2002)",1,0.1,0.1,..,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",1,8.3,8.3,0.04,"  Chile, Valdivia (1998-2002)",0,..,..,..,"  Chile, Valdivia (1998-2002)",0,..,..,..,
South America,"  Colombia, Cali (1998-2002)",11,0.3,0.3,..,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",1,0.3,0.3,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",1,0.6,0.6,0,"  Colombia, Cali (1998-2002)",1,0.7,0.8,0,"  Colombia, Cali (1998-2002)",4,3.6,3.9,0.02,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",1,1.6,1.8,0.01,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",1,4.4,4.9,0.02,"  Colombia, Cali (1998-2002)",1,6.5,7.1,..,
South America,  Costa Rica (1998-2002),28,0.3,0.4,..,  Costa Rica (1998-2002),1,0.1,0.1,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),1,0.1,0.1,0,  Costa Rica (1998-2002),1,0.1,0.1,0,  Costa Rica (1998-2002),2,0.3,0.3,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),3,0.8,0.8,0,  Costa Rica (1998-2002),1,0.4,0.4,0,  Costa Rica (1998-2002),4,1.8,1.8,0.01,  Costa Rica (1998-2002),7,4.1,4.1,0.02,  Costa Rica (1998-2002),4,2.9,2.9,0.01,  Costa Rica (1998-2002),2,..,..,..,  Costa Rica (1998-2002),2,..,..,..,  Costa Rica (1998-2002),0,..,..,..,
South America,"  Ecuador, Quito (1998-2002)",9,0.3,0.3,..,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",1,0.5,0.5,0,"  Ecuador, Quito (1998-2002)",3,1.9,1.9,0.01,"  Ecuador, Quito (1998-2002)",1,0.8,0.8,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",1,1.2,1.2,0.01,"  Ecuador, Quito (1998-2002)",1,1.7,1.7,0.01,"  Ecuador, Quito (1998-2002)",1,2.1,2.1,0.01,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",1,4.7,4.7,0.02,"  Ecuador, Quito (1998-2002)",0,0,0,..,
South America,"  France, Martinique (1998-2002)",10,1.1,0.8,..,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",2,2.6,2.6,0.01,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",1,1.8,1.8,0.01,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",2,6.4,6.4,0.03,"  France, Martinique (1998-2002)",2,7.8,7.8,0.04,"  France, Martinique (1998-2002)",1,5.4,5.4,0.03,"  France, Martinique (1998-2002)",2,18,18,0.09,"  France, Martinique (1998-2002)",0,0,0,..,
South America,"  Peru, Trujillo (1998-2002)",1,0.1,0.1,..,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",1,2.8,2.8,0.01,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,..,
South America,,311,6.3,6.4,0,,1,0.1,0.1,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0.1,0.1,0,,9,0.7,0.8,0,,12,3.2,3.2,0.01,,18,7.4,7.6,0.02,,24,10,10.1,0.05,,27,9.6,9.9,0.03,,28,20.7,21,0.1,,37,19.7,20.7,0.11,,38,29.6,30.6,0.15,,39,45.8,46.9,0.22,,29,34.9,35.7,0.18,,24,39.2,39.7,0.19,,9,49.6,50.2,0,
North America,Canada (1998-2002),541,0.9,0.7,..,Canada (1998-2002),0,0,0,0,Canada (1998-2002),0,0,0,0,  Canada (1998-2002),0,0,0,0,Canada (1998-2002),1,0,0,0,Canada (1998-2002),1,0,0,0,Canada (1998-2002),0,0,0,0,Canada (1998-2002),3,0.1,0.1,0,Canada (1998-2002),6,0.1,0.1,0,Canada (1998-2002),16,0.3,0.3,0,Canada (1998-2002),28,0.6,0.6,0,Canada (1998-2002),38,1,1,0.01,  Canada (1998-2002),58,2,2,0.01,Canada (1998-2002),55,2.4,2.4,0.01,Canada (1998-2002),86,4.2,4.2,0.02,Canada (1998-2002),84,4.9,4.9,0.02,Canada (1998-2002),79,6.2,6.2,0.03,Canada (1998-2002),48,6.5,6.5,0.03,Canada (1998-2002),38,7.7,7.7,..,
