,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Ecuador, Quito (1985-1987)",264,16.6,26.2,..,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",0,0,0,0,"  Ecuador, Quito (1985-1987)",1,0.5,0.5,0,"  Ecuador, Quito (1985-1987)",1,0.5,0.5,0,"  Ecuador, Quito (1985-1987)",2,1.3,1.3,0.01,"  Ecuador, Quito (1985-1987)",12,10,10.2,0.05,"  Ecuador, Quito (1985-1987)",18,20.4,20.8,0.1,"  Ecuador, Quito (1985-1987)",24,34.5,35.2,0.18,"  Ecuador, Quito (1985-1987)",32,59.2,60.3,0.3,"  Ecuador, Quito (1985-1987)",34,67.7,69,0.35,"  Ecuador, Quito (1985-1987)",37,103.6,105.6,0.53,"  Ecuador, Quito (1985-1987)",16,49.2,50.1,0.25,"  Ecuador, Quito (1985-1987)",29,124.3,126.7,0.63,"  Ecuador, Quito (1985-1987)",22,118.9,121.2,0.61,"  Ecuador, Quito (1985-1987)",12,..,..,..,"  Ecuador, Quito (1985-1987)",8,..,..,..,"  Ecuador, Quito (1985-1987)",11,..,..,..,
South America,"  France, Martinique (1983-1987)",262,30.2,28.2,..,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",0,0,0,0,"  France, Martinique (1983-1987)",1,1,1,0,"  France, Martinique (1983-1987)",1,1.2,1.2,0.01,"  France, Martinique (1983-1987)",3,4.6,4.6,0.02,"  France, Martinique (1983-1987)",8,13.6,13.6,0.07,"  France, Martinique (1983-1987)",13,25.2,25.2,0.13,"  France, Martinique (1983-1987)",27,60.1,60.1,0.3,"  France, Martinique (1983-1987)",19,44.9,44.9,0.22,"  France, Martinique (1983-1987)",24,60.5,60.5,0.3,"  France, Martinique (1983-1987)",31,85.4,85.4,0.43,"  France, Martinique (1983-1987)",34,106.8,106.8,0.53,"  France, Martinique (1983-1987)",26,99.4,99.4,0.5,"  France, Martinique (1983-1987)",30,137,137,0.69,"  France, Martinique (1983-1987)",25,..,..,..,"  France, Martinique (1983-1987)",11,..,..,..,"  France, Martinique (1983-1987)",9,..,..,..,
South America,"  Paraguay, Asuncion Region (1988-1989)",489,27.4,36.3,..,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",0,0,0,0,"  Paraguay, Asuncion Region (1988-1989)",1,0.5,0.5,0,"  Paraguay, Asuncion Region (1988-1989)",1,0.5,0.5,0,"  Paraguay, Asuncion Region (1988-1989)",9,5.9,6.2,0.03,"  Paraguay, Asuncion Region (1988-1989)",25,21.4,22.4,0.11,"  Paraguay, Asuncion Region (1988-1989)",36,36.9,38.5,0.19,"  Paraguay, Asuncion Region (1988-1989)",33,39.6,41.4,0.21,"  Paraguay, Asuncion Region (1988-1989)",68,103,107.6,0.54,"  Paraguay, Asuncion Region (1988-1989)",61,88.4,92.4,0.46,"  Paraguay, Asuncion Region (1988-1989)",62,120.1,125.4,0.63,"  Paraguay, Asuncion Region (1988-1989)",58,128.3,134.1,0.67,"  Paraguay, Asuncion Region (1988-1989)",38,107.8,112.7,0.56,"  Paraguay, Asuncion Region (1988-1989)",30,110.5,115.4,0.58,"  Paraguay, Asuncion Region (1988-1989)",26,138.3,144.5,0.72,"  Paraguay, Asuncion Region (1988-1989)",16,137.9,144.1,0.72,"  Paraguay, Asuncion Region (1988-1989)",4,43.6,45.6,..,
South America,"  Peru, Trujillo (1984-1987)",164,17.3,27.3,..,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",0,0,0,0,"  Peru, Trujillo (1984-1987)",3,3.7,3.8,0.02,"  Peru, Trujillo (1984-1987)",12,19.3,19.7,0.1,"  Peru, Trujillo (1984-1987)",19,36.5,37.2,0.19,"  Peru, Trujillo (1984-1987)",21,50.8,51.8,0.26,"  Peru, Trujillo (1984-1987)",30,90.1,91.8,0.46,"  Peru, Trujillo (1984-1987)",23,83.3,84.9,0.42,"  Peru, Trujillo (1984-1987)",13,64.7,65.9,0.33,"  Peru, Trujillo (1984-1987)",15,88.7,90.4,0.45,"  Peru, Trujillo (1984-1987)",12,85.2,86.8,0.43,"  Peru, Trujillo (1984-1987)",3,28.8,29.3,0.15,"  Peru, Trujillo (1984-1987)",6,80.6,82.1,0.41,"  Peru, Trujillo (1984-1987)",3,63.7,64.9,0.32,"  Peru, Trujillo (1984-1987)",1,22.1,22.5,..,
South America,"  USA, Puerto Rico (1983-1987)",3605,42.6,38.2,..,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",2,0.3,0.3,0,"  USA, Puerto Rico (1983-1987)",0,0,0,0,"  USA, Puerto Rico (1983-1987)",8,1.1,1.1,0.01,"  USA, Puerto Rico (1983-1987)",42,7,7,0.04,"  USA, Puerto Rico (1983-1987)",128,22.8,22.8,0.11,"  USA, Puerto Rico (1983-1987)",218,37.4,37.4,0.19,"  USA, Puerto Rico (1983-1987)",353,67,67,0.34,"  USA, Puerto Rico (1983-1987)",447,100.5,100.5,0.5,"  USA, Puerto Rico (1983-1987)",407,98.8,98.8,0.49,"  USA, Puerto Rico (1983-1987)",426,117.8,117.8,0.59,"  USA, Puerto Rico (1983-1987)",407,116.9,116.9,0.58,"  USA, Puerto Rico (1983-1987)",332,112.8,112.8,0.56,"  USA, Puerto Rico (1983-1987)",353,160.4,160.4,0.8,"  USA, Puerto Rico (1983-1987)",226,133.5,133.5,0.67,"  USA, Puerto Rico (1983-1987)",149,182.2,182.2,0.91,"  USA, Puerto Rico (1983-1987)",107,129.9,129.9,..,
,,9103,307.7,371.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.5,0,0,5,2.4,2.4,0,0,18,6.5,6.5,0.03,0,105,44.6,45.4,0.23,0,329,169.9,173,0.86,0,620,364.3,370.3,1.84,0,886,575.5,584.4,2.94,0,1105,861.5,876.6,4.39,0,1055,918.2,933.7,4.66,0,1074,1153.6,1172.9,5.87,0,1048,1310,1330.8,6.63,0,859,1338.3,1360.2,6.79,0,768,1361.9,1381.2,6.92,0,548,960.4,976.4,4.89,0,356,1178,1196.8,5.98,0,236,516,523.7,0,
North America,Bermuda: Black (1983-1987),59,68.6,64,..,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),0,0,0,0,Bermuda: Black (1983-1987),2,29.7,29.7,0.15,Bermuda: Black (1983-1987),2,36,36,0.18,  Bermuda: Black (1983-1987),5,99.1,99.1,0.5,Bermuda: Black (1983-1987),8,166.7,166.7,0.83,Bermuda: Black (1983-1987),5,111.2,111.2,0.56,  Bermuda: Black (1983-1987),9,247.9,247.9,1.24,Bermuda: Black (1983-1987),4,143.1,143.1,0.72,Bermuda: Black (1983-1987),7,251.3,251.3,1.26,Bermuda: Black (1983-1987),6,287.8,287.8,1.44,Bermuda: Black (1983-1987),9,793,793,3.96,  Bermuda: Black (1983-1987),1,155,155,0.78,Bermuda: Black (1983-1987),1,190.5,190.5,..,
North America,  Bermuda: White (1983-1987),69,49.8,41.5,..,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),0,0,0,0,  Bermuda: White (1983-1987),1,7.5,7.5,0.04,  Bermuda: White (1983-1987),4,33.8,33.8,0.17,  Bermuda: White (1983-1987),3,30.4,30.4,0.15,  Bermuda: White (1983-1987),4,47.8,47.8,0.24,  Bermuda: White (1983-1987),5,64.4,64.4,0.32,  Bermuda: White (1983-1987),8,104.4,104.4,0.52,  Bermuda: White (1983-1987),6,90.7,90.7,0.45,  Bermuda: White (1983-1987),9,176.6,176.6,0.88,  Bermuda: White (1983-1987),6,125,125,0.63,  Bermuda: White (1983-1987),7,193.9,193.9,0.97,  Bermuda: White (1983-1987),10,414.1,414.1,2.07,  Bermuda: White (1983-1987),2,149.8,149.8,0.75,  Bermuda: White (1983-1987),4,370.4,370.4,..,
North America,  Canada (1983-1987),57725,91.1,71.1,..,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),0,0,0,0,  Canada (1983-1987),2,0,0,0,  Canada (1983-1987),8,0.2,0.2,0,  Canada (1983-1987),56,1,1,0,  Canada (1983-1987),403,7,7,0.03,  Canada (1983-1987),1267,23.6,23.6,0.12,  Canada (1983-1987),2564,52.9,52.9,0.26,  Canada (1983-1987),4018,103.6,103.7,0.52,  Canada (1983-1987),4930,153.7,153.7,0.77,  Canada (1983-1987),5587,182,182.1,0.91,  Canada (1983-1987),6625,218,218.1,1.09,  Canada (1983-1987),7380,253.5,253.6,1.27,  Canada (1983-1987),6920,287.2,287.3,1.44,  Canada (1983-1987),6512,326.2,326.3,1.63,  Canada (1983-1987),5182,358,358.2,1.79,  Canada (1983-1987),3268,351.4,351.5,1.76,  Canada (1983-1987),2979,392.3,392.4,..,
North America,"  USA, California, Alameda County: Black (1983-1987)",541,91.2,83.8,..,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",0,0,0,0,"  USA, California, Alameda County: Black (1983-1987)",1,1.7,1.7,0.01,"  USA, California, Alameda County: Black (1983-1987)",10,14.7,14.7,0.07,"  USA, California, Alameda County: Black (1983-1987)",23,39.2,39.2,0.2,"  USA, California, Alameda County: Black (1983-1987)",42,97.4,97.4,0.49,"  USA, California, Alameda County: Black (1983-1987)",40,131.4,131.4,0.66,"  USA, California, Alameda County: Black (1983-1987)",39,149.8,149.8,0.75,"  USA, California, Alameda County: Black (1983-1987)",40,171.3,171.3,0.86,"  USA, California, Alameda County: Black (1983-1987)",56,226.1,226.1,1.13,"  USA, California, Alameda County: Black (1983-1987)",85,349.8,349.8,1.75,"  USA, California, Alameda County: Black (1983-1987)",69,348.7,348.7,1.74,"  USA, California, Alameda County: Black (1983-1987)",54,363.1,363.1,1.82,"  USA, California, Alameda County: Black (1983-1987)",34,343.6,343.6,1.72,"  USA, California, Alameda County: Black (1983-1987)",31,575.7,575.7,2.88,"  USA, California, Alameda County: Black (1983-1987)",17,357.4,357.4,..,
