,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"Argentina, Bahia Blanca (2003-2007)",791,104.6,74.7,..,"Argentina, Bahia Blanca (2003-2007)",0,0,0,0,"Argentina, Bahia Blanca (2003-2007)",0,0,0,0,"Argentina, Bahia Blanca (2003-2007)",0,0,0,0,"Argentina, Bahia Blanca (2003-2007)",0,0,0,0,"Argentina, Bahia Blanca (2003-2007)",3,4.2,4.5,0.02,"Argentina, Bahia Blanca (2003-2007)",4,7.6,8.1,0.04,"Argentina, Bahia Blanca (2003-2007)",10,22.3,23.8,0.12,"  Argentina, Bahia Blanca (2003-2007)",27,58.9,63.1,0.32,"Argentina, Bahia Blanca (2003-2007)",47,105.5,113,0.56,"Argentina, Bahia Blanca (2003-2007)",54,125.1,133.9,0.67,"Argentina, Bahia Blanca (2003-2007)",71,162.2,173.6,0.87,"Argentina, Bahia Blanca (2003-2007)",84,231.4,247.7,1.24,"Argentina, Bahia Blanca (2003-2007)",82,271.7,290.8,1.45,"Argentina, Bahia Blanca (2003-2007)",95,330.2,353.4,1.77,"Argentina, Bahia Blanca (2003-2007)",93,317.5,339.9,1.7,"Argentina, Bahia Blanca (2003-2007)",81,303,324.4,1.62,"Argentina, Bahia Blanca (2003-2007)",48,..,..,..,"Argentina, Bahia Blanca (2003-2007)",40,..,..,..,
South America,"  Argentina, Cordoba (2004-2007)",2661,96.6,78.1,..,"  Argentina, Cordoba (2004-2007)",0,0,0,0,"  Argentina, Cordoba (2004-2007)",0,0,0,0,"  Argentina, Cordoba (2004-2007)",0,0,0,0,"  Argentina, Cordoba (2004-2007)",2,0.9,0.9,0,"  Argentina, Cordoba (2004-2007)",4,1.5,1.5,0.01,"  Argentina, Cordoba (2004-2007)",15,6.3,6.3,0.03,"  Argentina, Cordoba (2004-2007)",45,22.8,22.8,0.11,"  Argentina, Cordoba (2004-2007)",86,49.9,50,0.25,"  Argentina, Cordoba (2004-2007)",185,120.2,120.2,0.6,"  Argentina, Cordoba (2004-2007)",251,168.5,168.6,0.84,"  Argentina, Cordoba (2004-2007)",274,191.8,191.9,0.96,"  Argentina, Cordoba (2004-2007)",356,271.2,271.3,1.36,"  Argentina, Cordoba (2004-2007)",342,302.1,302.2,1.51,"  Argentina, Cordoba (2004-2007)",289,307.8,308,1.54,"  Argentina, Cordoba (2004-2007)",264,330,330.1,1.65,"  Argentina, Cordoba (2004-2007)",251,365.1,365.2,1.83,"  Argentina, Cordoba (2004-2007)",179,..,..,..,"  Argentina, Cordoba (2004-2007)",117,..,..,..,
South America,"  Argentina, Mendoza (2003-2007)",3721,88.8,74.4,..,"  Argentina, Mendoza (2003-2007)",0,0,0,0,"  Argentina, Mendoza (2003-2007)",0,0,0,0,"  Argentina, Mendoza (2003-2007)",0,0,0,0,"  Argentina, Mendoza (2003-2007)",1,0.3,0.3,0,"  Argentina, Mendoza (2003-2007)",5,1.4,1.4,0.01,"  Argentina, Mendoza (2003-2007)",24,7.3,7.3,0.04,"  Argentina, Mendoza (2003-2007)",64,22.7,22.7,0.11,"  Argentina, Mendoza (2003-2007)",119,47.4,47.4,0.24,"  Argentina, Mendoza (2003-2007)",239,100.7,100.7,0.5,"  Argentina, Mendoza (2003-2007)",394,171.3,171.3,0.86,"  Argentina, Mendoza (2003-2007)",420,191.7,191.7,0.96,"  Argentina, Mendoza (2003-2007)",436,222.9,222.9,1.11,"  Argentina, Mendoza (2003-2007)",430,267.9,267.9,1.34,"  Argentina, Mendoza (2003-2007)",411,306.5,306.5,1.53,"  Argentina, Mendoza (2003-2007)",409,353.1,353.1,1.77,"  Argentina, Mendoza (2003-2007)",368,393.4,393.4,1.97,"  Argentina, Mendoza (2003-2007)",251,359.6,359.6,1.8,"  Argentina, Mendoza (2003-2007)",150,379.3,379.3,..,
South America,"  Argentina, Tierra del Fuego (2003-2007)",134,47.6,54.1,..,"  Argentina, Tierra del Fuego (2003-2007)",0,0,0,0,"  Argentina, Tierra del Fuego (2003-2007)",0,0,0,0,"  Argentina, Tierra del Fuego (2003-2007)",0,0,0,0,"  Argentina, Tierra del Fuego (2003-2007)",0,0,0,0,"  Argentina, Tierra del Fuego (2003-2007)",0,0,0,0,"  Argentina, Tierra del Fuego (2003-2007)",1,4.7,4.7,0.02,"  Argentina, Tierra del Fuego (2003-2007)",5,21.4,21.4,0.11,"  Argentina, Tierra del Fuego (2003-2007)",7,30.8,30.8,0.15,"  Argentina, Tierra del Fuego (2003-2007)",32,140.7,140.7,0.7,"  Argentina, Tierra del Fuego (2003-2007)",27,146.8,146.8,0.73,"  Argentina, Tierra del Fuego (2003-2007)",26,201,201,1,"  Argentina, Tierra del Fuego (2003-2007)",9,107.8,107.8,0.54,"  Argentina, Tierra del Fuego (2003-2007)",6,103.9,103.9,0.52,"  Argentina, Tierra del Fuego (2003-2007)",7,163,163,0.81,"  Argentina, Tierra del Fuego (2003-2007)",7,237.9,237.9,1.19,"  Argentina, Tierra del Fuego (2003-2007)",3,149.4,149.4,0.75,"  Argentina, Tierra del Fuego (2003-2007)",2,..,..,..,"  Argentina, Tierra del Fuego (2003-2007)",2,..,..,..,
South America,"  Brazil, Aracaju (2003-2006)",532,50.8,59.7,..,"  Brazil, Aracaju (2003-2006)",0,0,0,0,"  Brazil, Aracaju (2003-2006)",0,0,0,0,"  Brazil, Aracaju (2003-2006)",0,0,0,0,"  Brazil, Aracaju (2003-2006)",0,0,0,0,"  Brazil, Aracaju (2003-2006)",3,2.6,2.6,0.01,"  Brazil, Aracaju (2003-2006)",6,6.2,6.2,0.03,"  Brazil, Aracaju (2003-2006)",12,13.7,13.7,0.07,"  Brazil, Aracaju (2003-2006)",30,37.3,37.4,0.19,"  Brazil, Aracaju (2003-2006)",62,94.7,94.8,0.47,"  Brazil, Aracaju (2003-2006)",61,111.5,111.7,0.56,"  Brazil, Aracaju (2003-2006)",65,152.8,153.1,0.77,"  Brazil, Aracaju (2003-2006)",78,252.9,253.4,1.27,"  Brazil, Aracaju (2003-2006)",47,186.4,186.8,0.93,"  Brazil, Aracaju (2003-2006)",37,192.7,193,0.97,"  Brazil, Aracaju (2003-2006)",47,290.8,291.3,1.46,"  Brazil, Aracaju (2003-2006)",36,317.7,318.3,1.59,"  Brazil, Aracaju (2003-2006)",27,385.3,386.1,1.93,"  Brazil, Aracaju (2003-2006)",20,309.2,309.7,..,
South America,"  Brazil, Belo Horizonte (2003-2005)",2544,68.8,66.8,..,"  Brazil, Belo Horizonte (2003-2005)",0,0,0,0,"  Brazil, Belo Horizonte (2003-2005)",0,0,0,0,"  Brazil, Belo Horizonte (2003-2005)",0,0,0,0,"  Brazil, Belo Horizonte (2003-2005)",1,0.3,0.3,0,"  Brazil, Belo Horizonte (2003-2005)",7,1.9,1.9,0.01,"  Brazil, Belo Horizonte (2003-2005)",18,5.6,5.6,0.03,"  Brazil, Belo Horizonte (2003-2005)",70,23.1,23.2,0.12,"  Brazil, Belo Horizonte (2003-2005)",130,43.3,43.3,0.22,"  Brazil, Belo Horizonte (2003-2005)",246,91.2,91.3,0.46,"  Brazil, Belo Horizonte (2003-2005)",330,147.4,147.5,0.74,"  Brazil, Belo Horizonte (2003-2005)",342,188.5,188.7,0.94,"  Brazil, Belo Horizonte (2003-2005)",314,229,229.2,1.15,"  Brazil, Belo Horizonte (2003-2005)",250,215,215.1,1.08,"  Brazil, Belo Horizonte (2003-2005)",245,262.4,262.6,1.31,"  Brazil, Belo Horizonte (2003-2005)",186,255.1,255.3,1.28,"  Brazil, Belo Horizonte (2003-2005)",202,418.7,419,2.09,"  Brazil, Belo Horizonte (2003-2005)",106,342.9,343.1,1.72,"  Brazil, Belo Horizonte (2003-2005)",95,360.7,361,..,
South America,"  Brazil, Cuiaba (2003-2006)",590,37.7,51.8,..,"  Brazil, Cuiaba (2003-2006)",0,0,0,0,"  Brazil, Cuiaba (2003-2006)",0,0,0,0,"  Brazil, Cuiaba (2003-2006)",0,0,0,0,"  Brazil, Cuiaba (2003-2006)",1,0.6,0.6,0,"  Brazil, Cuiaba (2003-2006)",5,2.9,2.9,0.01,"  Brazil, Cuiaba (2003-2006)",4,2.7,2.7,0.01,"  Brazil, Cuiaba (2003-2006)",19,14.4,14.4,0.07,"  Brazil, Cuiaba (2003-2006)",49,40.6,40.8,0.2,"  Brazil, Cuiaba (2003-2006)",90,88.2,88.7,0.44,"  Brazil, Cuiaba (2003-2006)",90,116.4,117,0.59,"  Brazil, Cuiaba (2003-2006)",86,151.3,152.1,0.76,"  Brazil, Cuiaba (2003-2006)",70,177.5,178.4,0.89,"  Brazil, Cuiaba (2003-2006)",64,203.5,204.6,1.02,"  Brazil, Cuiaba (2003-2006)",32,142.9,143.7,0.72,"  Brazil, Cuiaba (2003-2006)",26,168.2,169.1,0.85,"  Brazil, Cuiaba (2003-2006)",23,248.9,250.2,1.25,"  Brazil, Cuiaba (2003-2006)",15,256.8,258.1,1.29,"  Brazil, Cuiaba (2003-2006)",13,246.4,247.6,..,
South America,"  Brazil, Fortaleza (2003-2006)",2207,44.4,52,..,"  Brazil, Fortaleza (2003-2006)",0,0,0,0,"  Brazil, Fortaleza (2003-2006)",0,0,0,0,"  Brazil, Fortaleza (2003-2006)",0,0,0,0,"  Brazil, Fortaleza (2003-2006)",1,0.2,0.2,0,"  Brazil, Fortaleza (2003-2006)",4,0.8,0.8,0,"  Brazil, Fortaleza (2003-2006)",17,3.9,3.9,0.02,"  Brazil, Fortaleza (2003-2006)",75,18,18.1,0.09,"  Brazil, Fortaleza (2003-2006)",155,40.5,40.8,0.2,"  Brazil, Fortaleza (2003-2006)",228,74.7,75.3,0.38,"  Brazil, Fortaleza (2003-2006)",295,118,118.9,0.59,"  Brazil, Fortaleza (2003-2006)",289,140.3,141.4,0.71,"  Brazil, Fortaleza (2003-2006)",273,184.2,185.6,0.93,"  Brazil, Fortaleza (2003-2006)",250,190.5,192,0.96,"  Brazil, Fortaleza (2003-2006)",186,193.5,195,0.97,"  Brazil, Fortaleza (2003-2006)",154,188,189.5,0.95,"  Brazil, Fortaleza (2003-2006)",140,253.4,255.4,1.28,"  Brazil, Fortaleza (2003-2006)",67,213.6,215.3,1.08,"  Brazil, Fortaleza (2003-2006)",56,201.3,202.9,..,
South America,"  Brazil, Goiania (2003-2007)",1961,62.7,69.3,..,"  Brazil, Goiania (2003-2007)",0,0,0,0,"  Brazil, Goiania (2003-2007)",0,0,0,0,"  Brazil, Goiania (2003-2007)",0,0,0,0,"  Brazil, Goiania (2003-2007)",0,0,0,0,"  Brazil, Goiania (2003-2007)",7,2.1,2.1,0.01,"  Brazil, Goiania (2003-2007)",22,7.2,7.2,0.04,"  Brazil, Goiania (2003-2007)",75,27.5,27.5,0.14,"  Brazil, Goiania (2003-2007)",158,62.7,62.8,0.31,"  Brazil, Goiania (2003-2007)",268,120.7,120.9,0.6,"  Brazil, Goiania (2003-2007)",266,145.5,145.7,0.73,"  Brazil, Goiania (2003-2007)",297,208.5,208.8,1.04,"  Brazil, Goiania (2003-2007)",253,243,243.4,1.22,"  Brazil, Goiania (2003-2007)",182,221,221.3,1.11,"  Brazil, Goiania (2003-2007)",164,266,266.4,1.33,"  Brazil, Goiania (2003-2007)",103,227.8,228.1,1.14,"  Brazil, Goiania (2003-2007)",85,291,291.5,1.46,"  Brazil, Goiania (2003-2007)",44,256.2,256.6,1.28,"  Brazil, Goiania (2003-2007)",34,262.5,262.9,..,
South America,"  Brazil, Sao Paulo (2003-2007)",23362,81.8,77.7,..,"  Brazil, Sao Paulo (2003-2007)",0,0,0,0,"  Brazil, Sao Paulo (2003-2007)",2,0.1,0.1,0,"  Brazil, Sao Paulo (2003-2007)",2,0.1,0.1,0,"  Brazil, Sao Paulo (2003-2007)",16,0.6,0.7,0,"  Brazil, Sao Paulo (2003-2007)",97,3.6,3.9,0.02,"  Brazil, Sao Paulo (2003-2007)",261,10.1,11.1,0.06,"  Brazil, Sao Paulo (2003-2007)",569,23.8,26,0.13,"  Brazil, Sao Paulo (2003-2007)",1183,52.5,57.5,0.29,"  Brazil, Sao Paulo (2003-2007)",2085,101.7,111.2,0.56,"  Brazil, Sao Paulo (2003-2007)",2814,158.8,173.6,0.87,"  Brazil, Sao Paulo (2003-2007)",2847,196.5,214.8,1.07,"  Brazil, Sao Paulo (2003-2007)",2605,236.9,259.1,1.3,"  Brazil, Sao Paulo (2003-2007)",2231,244.3,267.1,1.34,"  Brazil, Sao Paulo (2003-2007)",1986,270.4,295.6,1.48,"  Brazil, Sao Paulo (2003-2007)",1658,271.6,297,1.48,"  Brazil, Sao Paulo (2003-2007)",1456,352.8,385.7,1.93,"  Brazil, Sao Paulo (2003-2007)",929,378.1,413.5,2.07,"  Brazil, Sao Paulo (2003-2007)",625,323.8,354,..,
