,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
North America,"Canada, Alberta (1973-1977)",2888,66,66.6,..,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",5,1.2,1.2,0.01,"Canada, Alberta (1973-1977)",26,6.9,6.9,0.03,"Canada, Alberta (1973-1977)",53,17.8,17.8,0.09,"Canada, Alberta (1973-1977)",126,50.7,50.8,0.25,"Canada, Alberta (1973-1977)",229,96.8,97,0.49,"Canada, Alberta (1973-1977)",376,166.7,167.1,0.84,"Canada, Alberta (1973-1977)",379,176.3,176.6,0.88,"  Canada, Alberta (1973-1977)",354,201.1,201.6,1.01,"Canada, Alberta (1973-1977)",348,230.5,230.9,1.15,"Canada, Alberta (1973-1977)",325,279,279.6,1.4,"Canada, Alberta (1973-1977)",240,266.7,267.2,1.34,"Canada, Alberta (1973-1977)",192,302.4,303,1.51,"Canada, Alberta (1973-1977)",116,282.9,283.5,1.42,"Canada, Alberta (1973-1977)",113,332.4,333,..,
North America,"  Canada, British Columbia (1973-1977)",5261,86.6,72.8,..,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",2,0.4,0.4,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",1,0.2,0.2,0,"  Canada, British Columbia (1973-1977)",2,0.4,0.4,0,"  Canada, British Columbia (1973-1977)",32,6.2,6.2,0.03,"  Canada, British Columbia (1973-1977)",114,27.3,27.3,0.14,"  Canada, British Columbia (1973-1977)",162,47.6,47.6,0.24,"  Canada, British Columbia (1973-1977)",373,115.7,115.7,0.58,"  Canada, British Columbia (1973-1977)",559,171.2,171.2,0.86,"  Canada, British Columbia (1973-1977)",711,207,207,1.03,"  Canada, British Columbia (1973-1977)",712,240.1,240.1,1.2,"  Canada, British Columbia (1973-1977)",742,269.8,269.8,1.35,"  Canada, British Columbia (1973-1977)",540,257.8,257.8,1.29,"  Canada, British Columbia (1973-1977)",435,276.2,276.2,1.38,"  Canada, British Columbia (1973-1977)",346,293.2,293.2,1.47,"  Canada, British Columbia (1973-1977)",268,328.8,328.8,1.64,"  Canada, British Columbia (1973-1977)",262,385.3,385.3,..,
North America,"  Canada, Manitoba (1973-1977)",2168,85.2,71.4,..,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",1,0.4,0.4,0,"  Canada, Manitoba (1973-1977)",2,0.9,0.9,0,"  Canada, Manitoba (1973-1977)",16,7.9,7.9,0.04,"  Canada, Manitoba (1973-1977)",38,24.4,24.4,0.12,"  Canada, Manitoba (1973-1977)",62,48.1,48.1,0.24,"  Canada, Manitoba (1973-1977)",143,112.6,112.6,0.56,"  Canada, Manitoba (1973-1977)",254,192.5,192.5,0.96,"  Canada, Manitoba (1973-1977)",259,180.6,180.6,0.9,"  Canada, Manitoba (1973-1977)",276,225.3,225.3,1.13,"  Canada, Manitoba (1973-1977)",293,252.6,252.6,1.26,"  Canada, Manitoba (1973-1977)",263,281.3,281.3,1.41,"  Canada, Manitoba (1973-1977)",177,247.6,247.6,1.24,"  Canada, Manitoba (1973-1977)",157,293.5,293.5,1.47,"  Canada, Manitoba (1973-1977)",116,322.2,322.2,1.61,"  Canada, Manitoba (1973-1977)",111,376.3,376.3,..,
North America,"  Canada, Maritime Provinces (1973-1977)",2691,67.3,60.3,..,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",4,1.1,1.1,0.01,"  Canada, Maritime Provinces (1973-1977)",20,6.3,6.3,0.03,"  Canada, Maritime Provinces (1973-1977)",41,17.1,17.1,0.09,"  Canada, Maritime Provinces (1973-1977)",97,48.3,48.3,0.24,"  Canada, Maritime Provinces (1973-1977)",162,83.3,83.3,0.42,"  Canada, Maritime Provinces (1973-1977)",307,159.1,159.1,0.8,"  Canada, Maritime Provinces (1973-1977)",346,173.1,173.1,0.87,"  Canada, Maritime Provinces (1973-1977)",353,191.3,191.3,0.96,"  Canada, Maritime Provinces (1973-1977)",332,197.6,197.6,0.99,"  Canada, Maritime Provinces (1973-1977)",313,236.2,236.2,1.18,"  Canada, Maritime Provinces (1973-1977)",245,233.3,233.3,1.17,"  Canada, Maritime Provinces (1973-1977)",221,274.5,274.5,1.37,"  Canada, Maritime Provinces (1973-1977)",146,267.9,267.9,1.34,"  Canada, Maritime Provinces (1973-1977)",104,239.1,239.1,..,
North America,"  Canada, Newfoundland (1973-1977)",589,42.9,49.6,..,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",1,0.8,0.8,0,"  Canada, Newfoundland (1973-1977)",3,2.6,2.6,0.01,"  Canada, Newfoundland (1973-1977)",22,25.1,25.1,0.13,"  Canada, Newfoundland (1973-1977)",34,51.4,51.4,0.26,"  Canada, Newfoundland (1973-1977)",42,71,71,0.35,"  Canada, Newfoundland (1973-1977)",68,120.1,120.1,0.6,"  Canada, Newfoundland (1973-1977)",53,98.8,98.8,0.49,"  Canada, Newfoundland (1973-1977)",83,164,164,0.82,"  Canada, Newfoundland (1973-1977)",76,170.3,170.3,0.85,"  Canada, Newfoundland (1973-1977)",66,194.3,194.3,0.97,"  Canada, Newfoundland (1973-1977)",60,246.7,246.7,1.23,"  Canada, Newfoundland (1973-1977)",40,211.6,211.6,1.06,"  Canada, Newfoundland (1973-1977)",22,190.1,190.1,0.95,"  Canada, Newfoundland (1973-1977)",19,234.6,234.6,..,
North America,"  Canada, Northwest Territories and Yukon (1973-1977)",49,33.3,62.9,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",2,13.8,13.8,0.07,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",1,9.1,9.1,0.05,"  Canada, Northwest Territories and Yukon (1973-1977)",4,47.1,47.1,0.24,"  Canada, Northwest Territories and Yukon (1973-1977)",8,114.3,114.3,0.57,"  Canada, Northwest Territories and Yukon (1973-1977)",7,140,140,0.7,"  Canada, Northwest Territories and Yukon (1973-1977)",6,120,120,0.6,"  Canada, Northwest Territories and Yukon (1973-1977)",8,266.7,266.7,1.33,"  Canada, Northwest Territories and Yukon (1973-1977)",9,360,360,1.8,"  Canada, Northwest Territories and Yukon (1973-1977)",2,133.3,133.3,0.67,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",2,..,..,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,..,..,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,..,..,..,
North America,"  Canada, Ontario (1969-1971)",8272,72.9,64.6,..,"  Canada, Ontario (1969-1971)",0,0,0,0,"  Canada, Ontario (1969-1971)",0,0,0,0,"  Canada, Ontario (1969-1971)",0,0,0,0,"  Canada, Ontario (1969-1971)",1,0.1,0.1,0,"  Canada, Ontario (1969-1971)",22,2.3,2.3,0.01,"  Canada, Ontario (1969-1971)",43,5.4,5.4,0.03,"  Canada, Ontario (1969-1971)",181,26.2,26.2,0.13,"  Canada, Ontario (1969-1971)",383,55.9,55.9,0.28,"  Canada, Ontario (1969-1971)",726,103.2,103.3,0.52,"  Canada, Ontario (1969-1971)",1109,160,160,0.8,"  Canada, Ontario (1969-1971)",965,172.1,172.1,0.86,"  Canada, Ontario (1969-1971)",924,182.7,182.7,0.91,"  Canada, Ontario (1969-1971)",897,214.2,214.2,1.07,"  Canada, Ontario (1969-1971)",809,228.3,228.4,1.14,"  Canada, Ontario (1969-1971)",717,252.4,252.4,1.26,"  Canada, Ontario (1969-1971)",633,299.3,299.3,1.5,"  Canada, Ontario (1969-1971)",496,374.1,374.1,1.87,"  Canada, Ontario (1969-1971)",365,401.5,401.6,..,
North America,"  Canada, Quebec (1973-1977)",10557,67.7,63.2,..,"  Canada, Quebec (1973-1977)",0,0,0,0,"  Canada, Quebec (1973-1977)",2,0.2,0.2,0,"  Canada, Quebec (1973-1977)",0,0,0,0,"  Canada, Quebec (1973-1977)",1,0.1,0.1,0,"  Canada, Quebec (1973-1977)",15,1,1,0.01,"  Canada, Quebec (1973-1977)",49,3.6,3.6,0.02,"  Canada, Quebec (1973-1977)",226,20,20,0.1,"  Canada, Quebec (1973-1977)",389,42.8,42.8,0.21,"  Canada, Quebec (1973-1977)",851,95,95.1,0.48,"  Canada, Quebec (1973-1977)",1336,151.2,151.3,0.76,"  Canada, Quebec (1973-1977)",1473,177.7,177.7,0.89,"  Canada, Quebec (1973-1977)",1392,204.1,204.2,1.02,"  Canada, Quebec (1973-1977)",1386,227,227.1,1.14,"  Canada, Quebec (1973-1977)",1255,256.6,256.7,1.28,"  Canada, Quebec (1973-1977)",968,264.1,264.2,1.32,"  Canada, Quebec (1973-1977)",636,260.7,260.7,1.3,"  Canada, Quebec (1973-1977)",351,252.5,252.6,1.26,"  Canada, Quebec (1973-1977)",224,246.2,246.2,..,
North America,"  Canada, Saskatchewan (1973-1977)",1725,76.8,62.6,..,"  Canada, Saskatchewan (1973-1977)",0,0,0,0,"  Canada, Saskatchewan (1973-1977)",0,0,0,0,"  Canada, Saskatchewan (1973-1977)",0,0,0,0,"  Canada, Saskatchewan (1973-1977)",0,0,0,0,"  Canada, Saskatchewan (1973-1977)",1,0.5,0.5,0,"  Canada, Saskatchewan (1973-1977)",6,4,4,0.02,"  Canada, Saskatchewan (1973-1977)",28,23.2,23.2,0.12,"  Canada, Saskatchewan (1973-1977)",64,59,59,0.29,"  Canada, Saskatchewan (1973-1977)",100,88.9,88.9,0.44,"  Canada, Saskatchewan (1973-1977)",180,150.5,150.5,0.75,"  Canada, Saskatchewan (1973-1977)",212,171.5,171.5,0.86,"  Canada, Saskatchewan (1973-1977)",210,181.7,181.7,0.91,"  Canada, Saskatchewan (1973-1977)",222,210.4,210.4,1.05,"  Canada, Saskatchewan (1973-1977)",207,249.4,249.4,1.25,"  Canada, Saskatchewan (1973-1977)",172,268.8,268.8,1.34,"  Canada, Saskatchewan (1973-1977)",127,267.4,267.4,1.34,"  Canada, Saskatchewan (1973-1977)",105,313.4,313.4,1.57,"  Canada, Saskatchewan (1973-1977)",91,325,325,..,
North America,"  USA, California, Alameda County: Black (1973-1977)",315,66.7,67.2,..,"  USA, California, Alameda County: Black (1973-1977)",0,0,0,0,"  USA, California, Alameda County: Black (1973-1977)",0,0,0,0,"  USA, California, Alameda County: Black (1973-1977)",0,0,0,0,"  USA, California, Alameda County: Black (1973-1977)",0,0,0,0,"  USA, California, Alameda County: Black (1973-1977)",1,2.2,2.2,0.01,"  USA, California, Alameda County: Black (1973-1977)",3,6.7,6.7,0.03,"  USA, California, Alameda County: Black (1973-1977)",15,44.8,44.8,0.22,"  USA, California, Alameda County: Black (1973-1977)",14,56.2,56.2,0.28,"  USA, California, Alameda County: Black (1973-1977)",29,121.8,121.8,0.61,"  USA, California, Alameda County: Black (1973-1977)",29,111,111,0.56,"  USA, California, Alameda County: Black (1973-1977)",50,180.9,180.9,0.9,"  USA, California, Alameda County: Black (1973-1977)",45,221.2,221.2,1.11,"  USA, California, Alameda County: Black (1973-1977)",36,211.6,211.6,1.06,"  USA, California, Alameda County: Black (1973-1977)",27,213.4,213.4,1.07,"  USA, California, Alameda County: Black (1973-1977)",30,347.2,347.2,1.74,"  USA, California, Alameda County: Black (1973-1977)",13,243.2,243.2,1.22,"  USA, California, Alameda County: Black (1973-1977)",12,411,411,2.05,"  USA, California, Alameda County: Black (1973-1977)",11,452.7,452.7,..,
