,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Goiania (1999-2002)",1046,45.6,53.8,..,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",7,2.7,2.8,0.01,"  Brazil, Goiania (1999-2002)",10,4.6,4.6,0.02,"  Brazil, Goiania (1999-2002)",38,19,19,0.1,"  Brazil, Goiania (1999-2002)",82,44.4,44.5,0.22,"  Brazil, Goiania (1999-2002)",129,81.3,81.5,0.41,"  Brazil, Goiania (1999-2002)",154,121.7,121.9,0.61,"  Brazil, Goiania (1999-2002)",159,164.8,165.1,0.83,"  Brazil, Goiania (1999-2002)",125,179.7,180,0.9,"  Brazil, Goiania (1999-2002)",104,183,183.3,0.92,"  Brazil, Goiania (1999-2002)",81,190.3,190.7,0.95,"  Brazil, Goiania (1999-2002)",51,166.4,166.8,0.83,"  Brazil, Goiania (1999-2002)",54,278,278.6,1.39,"  Brazil, Goiania (1999-2002)",31,..,..,..,"  Brazil, Goiania (1999-2002)",19,..,..,..,
South America,"  Brazil, Sao Paulo (1998-2002)",22598,83,80.8,..,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",0,0,0,0,"  Brazil, Sao Paulo (1998-2002)",5,0.2,0.2,0,"  Brazil, Sao Paulo (1998-2002)",24,0.9,1,0,"  Brazil, Sao Paulo (1998-2002)",170,6.9,7.4,0.04,"  Brazil, Sao Paulo (1998-2002)",502,22.1,23.3,0.12,"  Brazil, Sao Paulo (1998-2002)",1276,59.1,62.6,0.31,"  Brazil, Sao Paulo (1998-2002)",2206,113,119.7,0.6,"  Brazil, Sao Paulo (1998-2002)",2860,172.4,182.5,0.91,"  Brazil, Sao Paulo (1998-2002)",2783,206.7,218.8,1.09,"  Brazil, Sao Paulo (1998-2002)",2431,239.7,253.8,1.27,"  Brazil, Sao Paulo (1998-2002)",2241,262.5,277.9,1.39,"  Brazil, Sao Paulo (1998-2002)",2128,307.5,325.5,1.63,"  Brazil, Sao Paulo (1998-2002)",1915,336.6,356.4,1.78,"  Brazil, Sao Paulo (1998-2002)",1367,..,..,..,"  Brazil, Sao Paulo (1998-2002)",848,..,..,..,"  Brazil, Sao Paulo (1998-2002)",588,..,..,..,
South America,"  Chile, Valdivia (1998-2002)",300,33.2,30.9,..,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",0,0,0,0,"  Chile, Valdivia (1998-2002)",4,5.9,5.9,0.03,"  Chile, Valdivia (1998-2002)",3,4.6,4.6,0.02,"  Chile, Valdivia (1998-2002)",5,7.3,7.3,0.04,"  Chile, Valdivia (1998-2002)",20,28.2,28.2,0.14,"  Chile, Valdivia (1998-2002)",23,38.1,38.1,0.19,"  Chile, Valdivia (1998-2002)",38,77.8,77.8,0.39,"  Chile, Valdivia (1998-2002)",37,87.8,87.8,0.44,"  Chile, Valdivia (1998-2002)",33,91.7,91.7,0.46,"  Chile, Valdivia (1998-2002)",29,93.7,93.7,0.47,"  Chile, Valdivia (1998-2002)",31,115,115,0.57,"  Chile, Valdivia (1998-2002)",23,110.5,110.5,0.55,"  Chile, Valdivia (1998-2002)",22,142.9,142.9,0.71,"  Chile, Valdivia (1998-2002)",18,..,..,..,"  Chile, Valdivia (1998-2002)",14,..,..,..,
South America,"  Colombia, Cali (1998-2002)",2139,44,47.5,..,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",0,0,0,0,"  Colombia, Cali (1998-2002)",1,0.2,0.2,0,"  Colombia, Cali (1998-2002)",16,3.5,3.6,0.02,"  Colombia, Cali (1998-2002)",83,20.2,20.9,0.1,"  Colombia, Cali (1998-2002)",127,34.1,35.2,0.18,"  Colombia, Cali (1998-2002)",245,76.5,78.9,0.39,"  Colombia, Cali (1998-2002)",262,101,104.2,0.52,"  Colombia, Cali (1998-2002)",251,116.4,120,0.6,"  Colombia, Cali (1998-2002)",241,142.1,146.6,0.73,"  Colombia, Cali (1998-2002)",226,162.8,167.9,0.84,"  Colombia, Cali (1998-2002)",201,184.8,190.6,0.95,"  Colombia, Cali (1998-2002)",169,205.3,211.7,1.06,"  Colombia, Cali (1998-2002)",113,195.2,201.3,1.01,"  Colombia, Cali (1998-2002)",78,224.3,231.4,1.16,"  Colombia, Cali (1998-2002)",61,223.4,230.4,..,
South America,  Costa Rica (1998-2002),2971,30.8,37.4,..,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),0,0,0,0,  Costa Rica (1998-2002),1,0.1,0.1,0,  Costa Rica (1998-2002),7,0.8,0.8,0,  Costa Rica (1998-2002),25,3.3,3.3,0.02,  Costa Rica (1998-2002),69,9.1,9.2,0.05,  Costa Rica (1998-2002),194,26.5,26.7,0.13,  Costa Rica (1998-2002),322,51.9,52.3,0.26,  Costa Rica (1998-2002),427,87.4,88.1,0.44,  Costa Rica (1998-2002),367,99.8,100.6,0.5,  Costa Rica (1998-2002),346,123.7,124.7,0.62,  Costa Rica (1998-2002),284,125.5,126.5,0.63,  Costa Rica (1998-2002),285,154.8,156.1,0.78,  Costa Rica (1998-2002),236,160.4,161.6,0.81,  Costa Rica (1998-2002),157,..,..,..,  Costa Rica (1998-2002),102,..,..,..,  Costa Rica (1998-2002),126,..,..,..,
South America,"  Ecuador, Quito (1998-2002)",966,26.3,30.7,..,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",0,0,0,0,"  Ecuador, Quito (1998-2002)",1,0.3,0.3,0,"  Ecuador, Quito (1998-2002)",3,0.8,0.8,0,"  Ecuador, Quito (1998-2002)",6,1.8,1.8,0.01,"  Ecuador, Quito (1998-2002)",25,8.4,8.4,0.04,"  Ecuador, Quito (1998-2002)",69,25.6,25.7,0.13,"  Ecuador, Quito (1998-2002)",131,56.8,57,0.28,"  Ecuador, Quito (1998-2002)",136,75,75.2,0.38,"  Ecuador, Quito (1998-2002)",116,78,78.2,0.39,"  Ecuador, Quito (1998-2002)",126,117.4,117.6,0.59,"  Ecuador, Quito (1998-2002)",101,114.9,115.1,0.58,"  Ecuador, Quito (1998-2002)",74,101.8,102,0.51,"  Ecuador, Quito (1998-2002)",57,99.2,99.4,0.5,"  Ecuador, Quito (1998-2002)",47,111.4,111.7,0.56,"  Ecuador, Quito (1998-2002)",34,110.7,111,0.55,"  Ecuador, Quito (1998-2002)",38,110.3,110.5,..,
South America,"  France, Martinique (1998-2002)",730,72.7,55.2,..,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",0,0,0,0,"  France, Martinique (1998-2002)",2,3.4,3.4,0.02,"  France, Martinique (1998-2002)",7,9.5,9.5,0.05,"  France, Martinique (1998-2002)",35,41.3,41.3,0.21,"  France, Martinique (1998-2002)",67,77.3,77.3,0.39,"  France, Martinique (1998-2002)",67,90.6,90.6,0.45,"  France, Martinique (1998-2002)",91,142.1,142.1,0.71,"  France, Martinique (1998-2002)",93,171.1,171.1,0.86,"  France, Martinique (1998-2002)",75,170.8,170.8,0.85,"  France, Martinique (1998-2002)",54,126.5,126.5,0.63,"  France, Martinique (1998-2002)",67,177.2,177.2,0.89,"  France, Martinique (1998-2002)",57,174.3,174.3,0.87,"  France, Martinique (1998-2002)",52,200.9,200.9,1,"  France, Martinique (1998-2002)",33,192,192,0.96,"  France, Martinique (1998-2002)",30,169.1,169.1,..,
South America,"  Peru, Trujillo (1998-2002)",332,21.3,29.4,..,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",0,0,0,0,"  Peru, Trujillo (1998-2002)",1,0.6,0.6,0,"  Peru, Trujillo (1998-2002)",2,1.4,1.4,0.01,"  Peru, Trujillo (1998-2002)",15,12.3,12.3,0.06,"  Peru, Trujillo (1998-2002)",28,27.7,27.7,0.14,"  Peru, Trujillo (1998-2002)",47,57.2,57.2,0.29,"  Peru, Trujillo (1998-2002)",58,87.7,87.7,0.44,"  Peru, Trujillo (1998-2002)",47,88.9,88.9,0.44,"  Peru, Trujillo (1998-2002)",41,102.3,102.3,0.51,"  Peru, Trujillo (1998-2002)",37,109,109,0.55,"  Peru, Trujillo (1998-2002)",20,78.3,78.3,0.39,"  Peru, Trujillo (1998-2002)",12,63.5,63.5,0.32,"  Peru, Trujillo (1998-2002)",14,105.5,105.5,0.53,"  Peru, Trujillo (1998-2002)",5,52.9,52.9,0.26,"  Peru, Trujillo (1998-2002)",5,59.7,59.7,..,
,,34372,558.2,571.8,0,0,0,0,0,0,0,1,0.3,0.3,0,0,0,0,0,0,0,20,3.3,3.5,0.01,0,81,26,26.6,0.12,0,308,72.8,74.5,0.38,0,896,216,220,1.12,0,2097,480.4,490,2.45,0,3506,856.8,874.4,4.36,0,4463,1343.6,1370.2,6.86,0,4273,1555.4,1587.7,7.94,0,3781,1821.4,1859.4,9.29,0,3411,1859.3,1903,9.53,0,3133,2042,2087.7,10.43,0,2731,2104.3,2154.6,10.78,0,1990,1993.8,2026.5,10.13,0,1244,1462.9,1491.5,7.44,0,960,1339.1,1370,0,
North America,Canada (1998-2002),69765,118.4,80.7,..,Canada (1998-2002),0,0,0,0,Canada (1998-2002),0,0,0,0,Canada (1998-2002),0,0,0,0,Canada (1998-2002),4,0.1,0.1,0,Canada (1998-2002),32,0.8,0.8,0,Canada (1998-2002),241,6,6,0.03,Canada (1998-2002),942,21.3,21.3,0.11,Canada (1998-2002),2581,51.2,51.2,0.26,Canada (1998-2002),4910,100.2,100.2,0.5,Canada (1998-2002),7142,164,164,0.82,Canada (1998-2002),8602,227.6,227.6,1.14,Canada (1998-2002),8084,278.4,278.4,1.39,Canada (1998-2002),7548,315.4,315.4,1.58,Canada (1998-2002),7470,341.6,341.6,1.71,Canada (1998-2002),7251,357.8,357.8,1.79,  Canada (1998-2002),6551,372.5,372.5,1.86,Canada (1998-2002),4445,370.8,370.9,1.85,Canada (1998-2002),3955,363,363.1,..,
