,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Goiania (1990-1993)",2,0.1,0.2,..,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",1,2.2,2.2,0.01,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",1,..,..,..,"  Brazil, Goiania (1990-1993)",0,..,..,..,"  Brazil, Goiania (1990-1993)",0,..,..,..,"  Brazil, Goiania (1990-1993)",0,..,..,..,
South America,"  Brazil, Porto Alegre (1990-1992)",6,0.3,0.4,..,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",1,1.1,1.3,0.01,"  Brazil, Porto Alegre (1990-1992)",1,1.3,1.6,0.01,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",1,1.8,2.2,0.01,"  Brazil, Porto Alegre (1990-1992)",1,2.6,3.1,0.02,"  Brazil, Porto Alegre (1990-1992)",1,4,4.8,0.02,"  Brazil, Porto Alegre (1990-1992)",0,..,..,..,"  Brazil, Porto Alegre (1990-1992)",0,..,..,..,"  Brazil, Porto Alegre (1990-1992)",0,..,..,..,
South America,"  Colombia, Cali (1987-1991)",5,0.1,0.2,..,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",1,0.5,0.5,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",2,2.1,2.1,0.01,"  Colombia, Cali (1987-1991)",2,2.4,2.4,0.01,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,..,
South America,  Costa Rica (1988-1992),12,0.2,0.3,..,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),1,0.4,0.4,0,  Costa Rica (1988-1992),2,1,1,0.01,  Costa Rica (1988-1992),3,1.9,1.9,0.01,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),2,2.4,2.4,0.01,  Costa Rica (1988-1992),1,..,..,..,  Costa Rica (1988-1992),1,..,..,..,  Costa Rica (1988-1992),2,..,..,..,
South America,"  Ecuador, Quito (1988-1992)",6,0.2,0.3,..,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",1,0.4,0.4,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",1,1.6,1.9,0.01,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",1,3.5,4.2,0.02,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",1,7.9,9.5,0.05,"  Ecuador, Quito (1988-1992)",1,11.3,13.6,..,
South America,"  Peru, Lima (1990-1991)",8,0.1,0.2,..,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",2,0.6,0.6,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",2,1,1,0,"  Peru, Lima (1990-1991)",1,0.6,0.6,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",1,1,1,0,"  Peru, Lima (1990-1991)",1,1.4,1.4,0.01,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",1,5.6,5.6,..,
South America,"  Peru, Trujillo (1988-1990)",1,0.2,0.3,..,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",1,14.3,14.3,0.07,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,..,
South America,"  Uruguay, Montevideo (1990-1992)",19,1,0.7,..,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",1,0.9,0.9,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",2,2.1,2.1,0.01,"  Uruguay, Montevideo (1990-1992)",1,1,1,0.01,"  Uruguay, Montevideo (1990-1992)",3,3.2,3.2,0.02,"  Uruguay, Montevideo (1990-1992)",2,2.6,2.6,0.01,"  Uruguay, Montevideo (1990-1992)",1,1.9,1.9,0.01,"  Uruguay, Montevideo (1990-1992)",8,21.6,21.6,0.11,"  Uruguay, Montevideo (1990-1992)",1,4.8,4.8,0.02,"  Uruguay, Montevideo (1990-1992)",0,0,0,..,
South America,"  USA, Puerto Rico (1988-1991)",23,0.3,0.3,..,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",1,0.2,0.2,0,"  USA, Puerto Rico (1988-1991)",1,0.3,0.3,0,"  USA, Puerto Rico (1988-1991)",2,0.7,0.7,0,"  USA, Puerto Rico (1988-1991)",4,1.6,1.6,0.01,"  USA, Puerto Rico (1988-1991)",2,0.9,0.9,0,"  USA, Puerto Rico (1988-1991)",3,1.4,1.4,0.01,"  USA, Puerto Rico (1988-1991)",5,3,3,0.02,"  USA, Puerto Rico (1988-1991)",2,..,..,..,"  USA, Puerto Rico (1988-1991)",2,..,..,..,"  USA, Puerto Rico (1988-1991)",1,..,..,..,
South America,,90,3.2,4.1,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0.4,0.4,0,,0,0,0,0,,0,0,0,0,,5,2.2,2.2,0,,3,2.8,3,0.02,,11,16.4,16.7,0.08,,13,12.6,12.9,0.07,,11,10.2,10.6,0.05,,7,7.6,8.1,0.04,,15,44.6,46.1,0.23,,11,21.6,21.6,0.11,,6,35,36.6,0.18,,5,16.9,19.2,0,
