,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,,75,4,6.5,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0.9,0.9,0,,6,3.3,3.7,0.02,,2,4.4,5.5,0.02,,3,2.2,2.4,0.01,,0,0,0,0,,7,11.6,12,0.06,,9,19.8,23.4,0.11,,10,30.1,34.3,0.16,,8,30.3,35.4,0.18,,6,39.9,49.4,0.25,,7,48.4,48.4,0.24,,2,4.2,4.2,0,
North America,Canada (1978-1982),409,0.7,0.6,..,Canada (1978-1982),0,0,0,0,Canada (1978-1982),0,0,0,0,Canada (1978-1982),0,0,0,0,Canada (1978-1982),0,0,0,0,Canada (1978-1982),1,0,0,0,Canada (1978-1982),1,0,0,0,Canada (1978-1982),7,0.1,0.1,0,Canada (1978-1982),7,0.2,0.2,0,Canada (1978-1982),8,0.2,0.2,0,Canada (1978-1982),25,0.8,0.8,0,Canada (1978-1982),36,1.2,1.2,0.01,Canada (1978-1982),35,1.2,1.2,0.01,Canada (1978-1982),54,2.4,2.4,0.01,Canada (1978-1982),76,3.9,3.9,0.02,Canada (1978-1982),56,4,4,0.02,  Canada (1978-1982),53,5.9,5.9,0.03,Canada (1978-1982),24,5.1,5.1,0.03,Canada (1978-1982),25,8,8,..,
North America,"  USA, California, Alameda County: Black (1978-1982)",5,1,0.9,..,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",3,13.8,13.8,0.07,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",1,18.6,18.6,0.09,"  USA, California, Alameda County: Black (1978-1982)",1,39.8,39.8,0.2,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,..,
North America,"  USA, California, Alameda County: White (1978-1982)",12,0.6,0.5,..,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",2,1.8,1.8,0.01,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",1,0.9,0.9,0,"  USA, California, Alameda County: White (1978-1982)",1,1.2,1.2,0.01,"  USA, California, Alameda County: White (1978-1982)",2,3.1,3.1,0.02,"  USA, California, Alameda County: White (1978-1982)",3,6.5,6.5,0.03,"  USA, California, Alameda County: White (1978-1982)",2,6.5,6.5,0.03,"  USA, California, Alameda County: White (1978-1982)",1,5.4,5.4,0.03,"  USA, California, Alameda County: White (1978-1982)",0,0,0,..,
North America,"  USA, California, Los Angeles: Black (1978-1982)",15,0.7,0.8,..,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",2,1.9,1.9,0.01,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",3,3.5,3.5,0.02,"  USA, California, Los Angeles: Black (1978-1982)",2,2.9,2.9,0.01,"  USA, California, Los Angeles: Black (1978-1982)",2,4.2,4.2,0.02,"  USA, California, Los Angeles: Black (1978-1982)",2,5.7,5.7,0.03,"  USA, California, Los Angeles: Black (1978-1982)",1,..,..,..,"  USA, California, Los Angeles: Black (1978-1982)",2,..,..,..,"  USA, California, Los Angeles: Black (1978-1982)",1,..,..,..,
North America,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,..,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Chinese (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Chinese (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Filipino (1978-1982)",1,0.4,0.2,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",1,10.9,10.9,0.05,"  USA, California, Los Angeles: Filipino (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Hispanic (1978-1982)",9,0.2,0.4,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",2,0.9,0.9,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",2,2.6,2.6,0.01,"  USA, California, Los Angeles: Hispanic (1978-1982)",1,1.9,1.9,0.01,"  USA, California, Los Angeles: Hispanic (1978-1982)",2,5.6,5.6,0.03,"  USA, California, Los Angeles: Hispanic (1978-1982)",1,..,..,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",1,..,..,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,..,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Japanese (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Japanese (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,
