I,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Europe,1,0,0,3,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,23
Oceania,3,0,0,1,2,3,1,2,4,2,2,4,3,3,4,5,3,3,3,45
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
VIII,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,2,3,3,4,4,4,3,6,5,4,6,6,6,5,6,6,6,6,85
SA,5,2,3,3,2,6,6,5,3,6,6,5,5,5,6,5,5,5,5,83
NA,2,2,3,2,4,2,1,1,2,3,2,2,2,2,2,2,2,2,2,38
Asia,3,2,1,1,3,1,3,4,4,2,3,3,3,3,3,3,4,4,3,50
Europe,1,1,0,3,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,23
Oceania,4,2,3,3,4,5,5,6,5,4,5,4,4,4,4,4,3,3,4,72
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IX,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,2,3,0,3,4,4,6,5,5,6,4,6,6,6,6,6,6,6,84
SA,5,1,3,0,3,4,5,4,4,4,4,5,4,5,5,5,5,4,4,69
NA,2,2,2,0,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,37
Asia,3,2,1,0,3,2,2,3,3,3,3,3,3,3,3,3,4,5,3,49
Europe,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
Oceania,4,2,3,0,3,3,6,5,6,6,5,6,5,4,4,4,3,3,5,73
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,2,2,2,3,6,5,6,5,4,6,5,5,5,6,6,6,6,6,86
SA,4,2,2,2,2,4,1,3,4,5,4,4,4,4,4,4,3,3,3,58
NA,2,1,2,2,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,47
Asia,3,2,1,2,1,2,3,2,2,2,3,3,3,3,3,3,4,4,4,47
Europe,1,2,2,1,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,27
Oceania,5,2,2,2,4,1,6,5,6,6,5,6,6,6,5,5,5,5,5,82
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
XI,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,5,3,1,3,2,3,4,3,4,3,4,4,3,3,4,4,6,6,6,66
SA,3,4,2,3,5,2,5,4,3,4,3,3,4,5,3,3,2,2,3,60
NA,4,4,2,3,4,3,3,5,5,5,5,5,5,4,5,5,3,4,4,74
Asia,2,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,4,3,2,37
Europe,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,23
Oceania,6,4,2,2,5,3,5,5,5,5,6,6,6,6,6,6,5,5,5,87
