,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Campinas (1991-1995)",7,0.3,0.5,..,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",3,3.4,3.4,0.02,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",0,0,0,0,"  Brazil, Campinas (1991-1995)",2,7.4,7.4,0.04,"  Brazil, Campinas (1991-1995)",1,..,..,..,"  Brazil, Campinas (1991-1995)",0,..,..,..,"  Brazil, Campinas (1991-1995)",1,..,..,..,
South America,"  Brazil, Goiania (1995-1998)",8,0.4,0.7,..,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",1,0.8,0.8,0,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",1,1.4,1.4,0.01,"  Brazil, Goiania (1995-1998)",2,3.8,3.8,0.02,"  Brazil, Goiania (1995-1998)",0,0,0,0,"  Brazil, Goiania (1995-1998)",1,3.6,3.6,0.02,"  Brazil, Goiania (1995-1998)",2,10.7,10.7,0.05,"  Brazil, Goiania (1995-1998)",1,9.2,9.2,0.05,"  Brazil, Goiania (1995-1998)",0,..,..,..,"  Brazil, Goiania (1995-1998)",0,..,..,..,
South America,"  Colombia, Cali (1992-1996)",4,0.1,0.1,..,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",1,0.6,0.6,0,"  Colombia, Cali (1992-1996)",1,0.7,0.7,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",1,1,1,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",1,3.4,3.4,0.02,"  Colombia, Cali (1992-1996)",0,0,0,0,"  Colombia, Cali (1992-1996)",0,0,0,..,
South America,  Costa Rica (1995-1996),4,0.1,0.2,..,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),1,1.6,1.6,0.01,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),1,3.5,3.5,0.02,  Costa Rica (1995-1996),0,0,0,0,  Costa Rica (1995-1996),2,14.2,14.2,..,
South America,"  Cuba, Villa Clara (1995-1997)",5,0.4,0.3,..,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",1,0.7,0.9,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",1,1.5,1.9,0.01,"  Cuba, Villa Clara (1995-1997)",1,2,2.5,0.01,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",0,0,0,0,"  Cuba, Villa Clara (1995-1997)",1,3.2,4.1,0.02,"  Cuba, Villa Clara (1995-1997)",0,..,..,..,"  Cuba, Villa Clara (1995-1997)",0,..,..,..,
South America,"  Ecuador, Quito (1993-1997)",5,0.1,0.2,..,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",1,0.6,0.6,0,"  Ecuador, Quito (1993-1997)",1,0.8,0.8,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",1,1.3,1.3,0.01,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",1,3,3,0.01,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",0,0,0,0,"  Ecuador, Quito (1993-1997)",1,9.7,9.7,..,
South America,"  France, Martinique (1993-1997)",0,0,0,..,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,0,"  France, Martinique (1993-1997)",0,0,0,..,
South America,"  Uruguay, Montevideo (1993-1995)",31,1.7,1.2,..,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",1,0.6,0.6,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",1,0.8,0.8,0,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",3,3,3,0.02,"  Uruguay, Montevideo (1993-1995)",0,0,0,0,"  Uruguay, Montevideo (1993-1995)",4,4.5,4.5,0.02,"  Uruguay, Montevideo (1993-1995)",4,4.7,4.7,0.02,"  Uruguay, Montevideo (1993-1995)",4,5.2,5.2,0.03,"  Uruguay, Montevideo (1993-1995)",5,8.6,8.6,0.04,"  Uruguay, Montevideo (1993-1995)",4,10.7,10.7,0.05,"  Uruguay, Montevideo (1993-1995)",2,9.1,9.1,0.05,"  Uruguay, Montevideo (1993-1995)",3,21.4,21.4,..,
South America,"  USA, Puerto Rico (1992-1993)",26,0.7,0.7,..,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",0,0,0,0,"  USA, Puerto Rico (1992-1993)",2,0.9,0.9,0,"  USA, Puerto Rico (1992-1993)",3,1.6,1.6,0.01,"  USA, Puerto Rico (1992-1993)",4,2.6,2.6,0.01,"  USA, Puerto Rico (1992-1993)",4,3,3,0.01,"  USA, Puerto Rico (1992-1993)",2,1.7,1.7,0.01,"  USA, Puerto Rico (1992-1993)",1,0.9,0.9,0,"  USA, Puerto Rico (1992-1993)",4,4.8,4.8,0.02,"  USA, Puerto Rico (1992-1993)",4,6,6,0.03,"  USA, Puerto Rico (1992-1993)",2,5.8,5.8,0.03,"  USA, Puerto Rico (1992-1993)",0,0,0,..,
South America,,100,5.1,5.1,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,1.8,1.8,0.01,,0,0,0,0,,0,0,0,0,,1,0.7,0.9,0,,3,4.2,4.2,0.02,,4,2.3,2.3,0,,8,6,6,0.03,,10,14.7,14.7,0.07,,12,14.1,14.5,0.07,,12,20.1,20.6,0.09,,8,14.4,14.4,0.08,,14,34.5,34.5,0.16,,14,36,36.9,0.19,,4,14.9,14.9,0.08,,7,45.3,45.3,0,
