,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
,,8863,314.6,391.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.6,0.01,0,12,7.1,7.9,0.03,0,34,12,12.9,0.05,0,135,58.5,60.3,0.28,0,345,153.9,158.7,0.79,0,563,313.1,322,1.61,0,850,534.4,551.3,2.76,0,1145,915.4,942,4.69,0,1222,1042.1,1079.8,5.41,0,1032,1092.6,1132.4,5.67,0,935,1280,1320.2,6.62,0,807,1453.1,1504.8,7.52,0,654,1104.2,1131.2,5.66,0,436,1016.3,1040.9,5.21,0,314,1107.6,1114.5,5.56,0,171,925.1,931.1,0,
North America,Canada (1978-1982),48589,79.4,66.4,..,Canada (1978-1982),0,0,0,0,Canada (1978-1982),0,0,0,0,Canada (1978-1982),8,0.2,0.2,0,Canada (1978-1982),14,0.2,0.2,0,Canada (1978-1982),46,0.8,0.8,0,Canada (1978-1982),404,7.4,7.4,0.04,Canada (1978-1982),1149,22.7,22.7,0.11,Canada (1978-1982),2053,51.4,51.5,0.26,Canada (1978-1982),3228,98.1,98.2,0.49,Canada (1978-1982),4892,157.2,157.3,0.79,Canada (1978-1982),5361,172.8,172.9,0.86,Canada (1978-1982),6167,202.6,202.7,1.01,Canada (1978-1982),6066,236.6,236.8,1.18,Canada (1978-1982),6044,268,268.1,1.34,Canada (1978-1982),4760,273,273.2,1.37,Canada (1978-1982),3645,292.4,292.6,1.46,Canada (1978-1982),2560,320.4,320.6,1.6,Canada (1978-1982),2160,338.2,338.4,..,
North America,"  USA, California, Alameda County: Black (1978-1982)",384,71.6,68.4,..,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",0,0,0,0,"  USA, California, Alameda County: Black (1978-1982)",3,5.3,5.3,0.03,"  USA, California, Alameda County: Black (1978-1982)",5,8.9,8.9,0.04,"  USA, California, Alameda County: Black (1978-1982)",21,43.6,43.6,0.22,"  USA, California, Alameda County: Black (1978-1982)",30,88.1,88.1,0.44,"  USA, California, Alameda County: Black (1978-1982)",29,112.8,112.8,0.56,"  USA, California, Alameda County: Black (1978-1982)",34,145.8,145.8,0.73,"  USA, California, Alameda County: Black (1978-1982)",33,136.5,136.5,0.68,"  USA, California, Alameda County: Black (1978-1982)",57,227.8,227.8,1.14,"  USA, California, Alameda County: Black (1978-1982)",39,189.2,189.2,0.95,"  USA, California, Alameda County: Black (1978-1982)",41,236.3,236.3,1.18,"  USA, California, Alameda County: Black (1978-1982)",32,282.4,282.4,1.41,"  USA, California, Alameda County: Black (1978-1982)",27,337.7,337.7,1.69,"  USA, California, Alameda County: Black (1978-1982)",20,489,489,2.44,"  USA, California, Alameda County: Black (1978-1982)",13,349.5,349.5,..,
North America,"  USA, California, Alameda County: White (1978-1982)",2225,108.1,78.4,..,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",0,0,0,0,"  USA, California, Alameda County: White (1978-1982)",1,0.5,0.5,0,"  USA, California, Alameda County: White (1978-1982)",18,9.3,9.3,0.05,"  USA, California, Alameda County: White (1978-1982)",52,27.3,27.3,0.14,"  USA, California, Alameda County: White (1978-1982)",97,68.5,68.5,0.34,"  USA, California, Alameda County: White (1978-1982)",125,116.2,116.2,0.58,"  USA, California, Alameda County: White (1978-1982)",154,157.7,157.7,0.79,"  USA, California, Alameda County: White (1978-1982)",198,182.6,182.6,0.91,"  USA, California, Alameda County: White (1978-1982)",281,246.4,246.4,1.23,"  USA, California, Alameda County: White (1978-1982)",283,298.3,298.3,1.49,"  USA, California, Alameda County: White (1978-1982)",286,336.6,336.6,1.68,"  USA, California, Alameda County: White (1978-1982)",246,357.8,357.8,1.79,"  USA, California, Alameda County: White (1978-1982)",188,342.8,342.8,1.71,"  USA, California, Alameda County: White (1978-1982)",125,310.9,310.9,1.55,"  USA, California, Alameda County: White (1978-1982)",171,450.9,450.9,..,
North America,"  USA, California, Los Angeles: Black (1978-1982)",1448,57.2,59.1,..,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Black (1978-1982)",3,1.2,1.2,0.01,"  USA, California, Los Angeles: Black (1978-1982)",12,5,5,0.03,"  USA, California, Los Angeles: Black (1978-1982)",64,30.3,30.3,0.15,"  USA, California, Los Angeles: Black (1978-1982)",111,67.2,67.2,0.34,"  USA, California, Los Angeles: Black (1978-1982)",140,100.1,100.1,0.5,"  USA, California, Los Angeles: Black (1978-1982)",178,144.6,144.6,0.72,"  USA, California, Los Angeles: Black (1978-1982)",168,154.7,154.7,0.77,"  USA, California, Los Angeles: Black (1978-1982)",179,174.6,174.6,0.87,"  USA, California, Los Angeles: Black (1978-1982)",153,186.1,186.1,0.93,"  USA, California, Los Angeles: Black (1978-1982)",147,211.5,211.5,1.06,"  USA, California, Los Angeles: Black (1978-1982)",115,223.7,223.7,1.12,"  USA, California, Los Angeles: Black (1978-1982)",77,..,..,..,"  USA, California, Los Angeles: Black (1978-1982)",60,..,..,..,"  USA, California, Los Angeles: Black (1978-1982)",41,..,..,..,
North America,"  USA, California, Los Angeles: Chinese (1978-1982)",98,37,39.6,..,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Chinese (1978-1982)",3,8.9,8.9,0.04,"  USA, California, Los Angeles: Chinese (1978-1982)",10,33.6,33.6,0.17,"  USA, California, Los Angeles: Chinese (1978-1982)",4,21.6,21.6,0.11,"  USA, California, Los Angeles: Chinese (1978-1982)",11,65.1,65.1,0.33,"  USA, California, Los Angeles: Chinese (1978-1982)",19,149.6,149.6,0.75,"  USA, California, Los Angeles: Chinese (1978-1982)",13,119.3,119.3,0.6,"  USA, California, Los Angeles: Chinese (1978-1982)",13,146.1,146.1,0.73,"  USA, California, Los Angeles: Chinese (1978-1982)",7,80.5,80.5,0.4,"  USA, California, Los Angeles: Chinese (1978-1982)",10,151.5,151.5,0.76,"  USA, California, Los Angeles: Chinese (1978-1982)",4,87,87,0.43,"  USA, California, Los Angeles: Chinese (1978-1982)",2,..,..,..,"  USA, California, Los Angeles: Chinese (1978-1982)",2,..,..,..,"  USA, California, Los Angeles: Chinese (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Filipino (1978-1982)",92,33.5,35.7,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Filipino (1978-1982)",2,7.2,7.2,0.04,"  USA, California, Los Angeles: Filipino (1978-1982)",7,20.3,20.3,0.1,"  USA, California, Los Angeles: Filipino (1978-1982)",11,38.5,38.5,0.19,"  USA, California, Los Angeles: Filipino (1978-1982)",19,98.4,98.4,0.49,"  USA, California, Los Angeles: Filipino (1978-1982)",12,102.6,102.6,0.51,"  USA, California, Los Angeles: Filipino (1978-1982)",12,129,129,0.65,"  USA, California, Los Angeles: Filipino (1978-1982)",9,95.7,95.7,0.48,"  USA, California, Los Angeles: Filipino (1978-1982)",4,44.4,44.4,0.22,"  USA, California, Los Angeles: Filipino (1978-1982)",7,98.6,98.6,0.49,"  USA, California, Los Angeles: Filipino (1978-1982)",5,122,122,0.61,"  USA, California, Los Angeles: Filipino (1978-1982)",4,..,..,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Filipino (1978-1982)",0,..,..,..,
North America,"  USA, California, Los Angeles: Hispanic (1978-1982)",1359,29.2,41.8,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Hispanic (1978-1982)",7,1.3,1.3,0.01,"  USA, California, Los Angeles: Hispanic (1978-1982)",25,5.2,5.2,0.03,"  USA, California, Los Angeles: Hispanic (1978-1982)",58,15.3,15.3,0.08,"  USA, California, Los Angeles: Hispanic (1978-1982)",101,36.6,36.6,0.18,"  USA, California, Los Angeles: Hispanic (1978-1982)",148,69.3,69.3,0.35,"  USA, California, Los Angeles: Hispanic (1978-1982)",180,95.7,95.7,0.48,"  USA, California, Los Angeles: Hispanic (1978-1982)",168,99.2,99.2,0.5,"  USA, California, Los Angeles: Hispanic (1978-1982)",173,126,126,0.63,"  USA, California, Los Angeles: Hispanic (1978-1982)",127,138.8,138.8,0.69,"  USA, California, Los Angeles: Hispanic (1978-1982)",140,182.8,182.8,0.91,"  USA, California, Los Angeles: Hispanic (1978-1982)",79,141.6,141.6,0.71,"  USA, California, Los Angeles: Hispanic (1978-1982)",69,..,..,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",49,..,..,..,"  USA, California, Los Angeles: Hispanic (1978-1982)",35,..,..,..,
North America,"  USA, California, Los Angeles: Japanese (1978-1982)",147,46,36.2,..,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Japanese (1978-1982)",1,3.3,3.3,0.02,"  USA, California, Los Angeles: Japanese (1978-1982)",5,17.5,17.5,0.09,"  USA, California, Los Angeles: Japanese (1978-1982)",11,50.9,50.9,0.25,"  USA, California, Los Angeles: Japanese (1978-1982)",20,107,107,0.53,"  USA, California, Los Angeles: Japanese (1978-1982)",27,103.1,103.1,0.52,"  USA, California, Los Angeles: Japanese (1978-1982)",21,84.7,84.7,0.42,"  USA, California, Los Angeles: Japanese (1978-1982)",26,112.1,112.1,0.56,"  USA, California, Los Angeles: Japanese (1978-1982)",13,96.3,96.3,0.48,"  USA, California, Los Angeles: Japanese (1978-1982)",9,121.6,121.6,0.61,"  USA, California, Los Angeles: Japanese (1978-1982)",4,75.5,75.5,0.38,"  USA, California, Los Angeles: Japanese (1978-1982)",3,..,..,..,"  USA, California, Los Angeles: Japanese (1978-1982)",5,..,..,..,"  USA, California, Los Angeles: Japanese (1978-1982)",2,..,..,..,
North America,"  USA, California, Los Angeles: Korean (1978-1982)",25,14.4,14.1,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",5,23.6,23.6,0.12,"  USA, California, Los Angeles: Korean (1978-1982)",4,25.3,25.3,0.13,"  USA, California, Los Angeles: Korean (1978-1982)",5,36,36,0.18,"  USA, California, Los Angeles: Korean (1978-1982)",3,34.5,34.5,0.17,"  USA, California, Los Angeles: Korean (1978-1982)",2,40,40,0.2,"  USA, California, Los Angeles: Korean (1978-1982)",3,62.5,62.5,0.31,"  USA, California, Los Angeles: Korean (1978-1982)",1,19.6,19.6,0.1,"  USA, California, Los Angeles: Korean (1978-1982)",0,0,0,0,"  USA, California, Los Angeles: Korean (1978-1982)",2,83.3,83.3,0.42,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,"  USA, California, Los Angeles: Korean (1978-1982)",0,..,..,..,
