,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
,,2517,68.3,97.4,0,0,1,0.1,0.1,0,0,1,0.1,0.1,0,0,2,0.2,0.2,0,0,10,0.9,0.9,0,0,9,3.1,3.1,0.01,0,32,13.5,13.6,0.07,0,120,50.8,51.3,0.25,0,207,90,90.9,0.46,0,323,164.4,166.2,0.83,0,350,237.4,240.2,1.2,0,341,297.6,301.1,1.5,0,286,256.9,259.9,1.3,0,283,300.5,303.6,1.52,0,228,374.3,378,1.89,0,140,279.4,282,1.41,0,114,459.7,467.1,2.33,0,45,109,110.1,0.55,0,16,116.1,117.1,0,
North America,"Canada, Alberta (1960-1962)",905,46.9,51.2,..,"Canada, Alberta (1960-1962)",0,0,0,0,"Canada, Alberta (1960-1962)",0,0,0,0,"Canada, Alberta (1960-1962)",0,0,0,0,"Canada, Alberta (1960-1962)",1,0.7,0.7,0,"Canada, Alberta (1960-1962)",1,0.7,0.7,0,"Canada, Alberta (1960-1962)",8,5.8,5.8,0.03,"Canada, Alberta (1960-1962)",18,13,13,0.07,"Canada, Alberta (1960-1962)",70,51.4,51.4,0.26,"Canada, Alberta (1960-1962)",131,110,110,0.55,"Canada, Alberta (1960-1962)",136,133.7,133.7,0.67,"Canada, Alberta (1960-1962)",126,153.3,153.3,0.77,"Canada, Alberta (1960-1962)",92,139.4,139.4,0.7,"Canada, Alberta (1960-1962)",79,149.6,149.6,0.75,"Canada, Alberta (1960-1962)",69,158.6,158.6,0.79,"Canada, Alberta (1960-1962)",71,190.9,190.9,0.95,"Canada, Alberta (1960-1962)",59,231.4,231.4,1.16,"Canada, Alberta (1960-1962)",34,257.6,257.6,1.29,"Canada, Alberta (1960-1962)",10,138.9,138.9,..,
North America,"  Canada, Manitoba (1960-1962)",857,63,58,..,"  Canada, Manitoba (1960-1962)",0,0,0,0,"  Canada, Manitoba (1960-1962)",0,0,0,0,"  Canada, Manitoba (1960-1962)",0,0,0,0,"  Canada, Manitoba (1960-1962)",0,0,0,0,"  Canada, Manitoba (1960-1962)",2,2.3,2.3,0.01,"  Canada, Manitoba (1960-1962)",9,10.8,10.9,0.05,"  Canada, Manitoba (1960-1962)",14,15.8,15.8,0.08,"  Canada, Manitoba (1960-1962)",51,53,53.1,0.27,"  Canada, Manitoba (1960-1962)",87,100.3,100.7,0.5,"  Canada, Manitoba (1960-1962)",133,164.8,165.4,0.83,"  Canada, Manitoba (1960-1962)",109,161.5,162,0.81,"  Canada, Manitoba (1960-1962)",90,163,163.6,0.82,"  Canada, Manitoba (1960-1962)",80,170.9,171.5,0.86,"  Canada, Manitoba (1960-1962)",83,197.6,198.3,0.99,"  Canada, Manitoba (1960-1962)",67,187.7,188.3,0.94,"  Canada, Manitoba (1960-1962)",78,313.3,314.4,1.57,"  Canada, Manitoba (1960-1962)",32,248.1,248.9,1.24,"  Canada, Manitoba (1960-1962)",19,253.3,254.2,..,
North America,"  Canada, New Brunswick (1962-1964)",437,49.3,51.5,..,"  Canada, New Brunswick (1962-1964)",0,0,0,0,"  Canada, New Brunswick (1962-1964)",0,0,0,0,"  Canada, New Brunswick (1962-1964)",0,0,0,0,"  Canada, New Brunswick (1962-1964)",0,0,0,0,"  Canada, New Brunswick (1962-1964)",1,1.8,1.8,0.01,"  Canada, New Brunswick (1962-1964)",1,2,2,0.01,"  Canada, New Brunswick (1962-1964)",17,32.9,32.9,0.16,"  Canada, New Brunswick (1962-1964)",16,29.3,29.3,0.15,"  Canada, New Brunswick (1962-1964)",51,101.2,101.2,0.51,"  Canada, New Brunswick (1962-1964)",57,127.5,127.5,0.64,"  Canada, New Brunswick (1962-1964)",47,126.3,126.3,0.63,"  Canada, New Brunswick (1962-1964)",46,148.9,148.9,0.74,"  Canada, New Brunswick (1962-1964)",48,175.8,175.8,0.88,"  Canada, New Brunswick (1962-1964)",38,156.4,156.4,0.78,"  Canada, New Brunswick (1962-1964)",46,228.9,228.9,1.14,"  Canada, New Brunswick (1962-1964)",38,269.5,269.5,1.35,"  Canada, New Brunswick (1962-1964)",16,190.5,190.5,0.95,"  Canada, New Brunswick (1962-1964)",15,294.1,294.1,..,
North America,"  Canada, Newfoundland (1960-1962)",189,28.3,36.9,..,"  Canada, Newfoundland (1960-1962)",0,0,0,0,"  Canada, Newfoundland (1960-1962)",0,0,0,0,"  Canada, Newfoundland (1960-1962)",0,0,0,0,"  Canada, Newfoundland (1960-1962)",0,0,0,0,"  Canada, Newfoundland (1960-1962)",1,2.2,2.3,0.01,"  Canada, Newfoundland (1960-1962)",0,0,0,0,"  Canada, Newfoundland (1960-1962)",5,13.6,13.7,0.07,"  Canada, Newfoundland (1960-1962)",13,36.7,37.1,0.19,"  Canada, Newfoundland (1960-1962)",21,61.9,62.6,0.31,"  Canada, Newfoundland (1960-1962)",25,80.9,81.8,0.41,"  Canada, Newfoundland (1960-1962)",30,125,126.3,0.63,"  Canada, Newfoundland (1960-1962)",35,185.2,187.2,0.94,"  Canada, Newfoundland (1960-1962)",16,95.2,96.3,0.48,"  Canada, Newfoundland (1960-1962)",15,104.2,105.3,0.53,"  Canada, Newfoundland (1960-1962)",11,99.1,100.2,0.5,"  Canada, Newfoundland (1960-1962)",6,74.1,74.9,0.37,"  Canada, Newfoundland (1960-1962)",4,95.2,96.3,0.48,"  Canada, Newfoundland (1960-1962)",5,185.2,187.2,..,
North America,"  Canada, Saskatchewan (1960-1962)",793,59.3,57.4,..,"  Canada, Saskatchewan (1960-1962)",0,0,0,0,"  Canada, Saskatchewan (1960-1962)",0,0,0,0,"  Canada, Saskatchewan (1960-1962)",0,0,0,0,"  Canada, Saskatchewan (1960-1962)",0,0,0,0,"  Canada, Saskatchewan (1960-1962)",2,2.4,2.4,0.01,"  Canada, Saskatchewan (1960-1962)",6,7.5,7.5,0.04,"  Canada, Saskatchewan (1960-1962)",25,29.6,29.6,0.15,"  Canada, Saskatchewan (1960-1962)",45,51.5,51.5,0.26,"  Canada, Saskatchewan (1960-1962)",117,138.3,138.3,0.69,"  Canada, Saskatchewan (1960-1962)",126,164.1,164.1,0.82,"  Canada, Saskatchewan (1960-1962)",90,142.2,142.2,0.71,"  Canada, Saskatchewan (1960-1962)",58,113.7,113.7,0.57,"  Canada, Saskatchewan (1960-1962)",77,177,177,0.89,"  Canada, Saskatchewan (1960-1962)",78,200,200,1,"  Canada, Saskatchewan (1960-1962)",64,192.2,192.2,0.96,"  Canada, Saskatchewan (1960-1962)",50,216.5,216.5,1.08,"  Canada, Saskatchewan (1960-1962)",36,285.7,285.7,1.43,"  Canada, Saskatchewan (1960-1962)",19,287.9,287.9,..,
North America,"  USA, Connecticut (1960-1962)",2944,74,59,..,"  USA, Connecticut (1960-1962)",0,0,0,0,"  USA, Connecticut (1960-1962)",0,0,0,0,"  USA, Connecticut (1960-1962)",0,0,0,0,"  USA, Connecticut (1960-1962)",1,0.4,0.4,0,"  USA, Connecticut (1960-1962)",3,1.3,1.3,0.01,"  USA, Connecticut (1960-1962)",15,6.3,6.3,0.03,"  USA, Connecticut (1960-1962)",66,24.6,24.7,0.12,"  USA, Connecticut (1960-1962)",166,56.8,56.9,0.28,"  USA, Connecticut (1960-1962)",270,93.8,94,0.47,"  USA, Connecticut (1960-1962)",347,133.4,133.8,0.67,"  USA, Connecticut (1960-1962)",345,155.3,155.6,0.78,"  USA, Connecticut (1960-1962)",348,180.4,180.8,0.9,"  USA, Connecticut (1960-1962)",299,175.6,176,0.88,"  USA, Connecticut (1960-1962)",324,212.4,212.9,1.06,"  USA, Connecticut (1960-1962)",275,234.4,234.9,1.17,"  USA, Connecticut (1960-1962)",217,285.5,286.1,1.43,"  USA, Connecticut (1960-1962)",145,333.3,334.1,1.67,"  USA, Connecticut (1960-1962)",116,414,415,..,
North America,"  USA, New York State (Less City) (1959-1961)",8466,61.4,49.1,..,"  USA, New York State (Less City) (1959-1961)",2,0.1,0.1,0,"  USA, New York State (Less City) (1959-1961)",0,0,0,0,"  USA, New York State (Less City) (1959-1961)",0,0,0,0,"  USA, New York State (Less City) (1959-1961)",1,0.1,0.1,0,"  USA, New York State (Less City) (1959-1961)",4,0.6,0.6,0,"  USA, New York State (Less City) (1959-1961)",43,5.4,5.4,0.03,"  USA, New York State (Less City) (1959-1961)",171,17.7,17.7,0.09,"  USA, New York State (Less City) (1959-1961)",398,38.7,38.7,0.19,"  USA, New York State (Less City) (1959-1961)",728,76.6,76.6,0.38,"  USA, New York State (Less City) (1959-1961)",1020,119.1,119.1,0.6,"  USA, New York State (Less City) (1959-1961)",931,123.7,123.7,0.62,"  USA, New York State (Less City) (1959-1961)",886,134.9,134.9,0.67,"  USA, New York State (Less City) (1959-1961)",944,158.9,158.9,0.79,"  USA, New York State (Less City) (1959-1961)",1000,189.1,189.1,0.95,"  USA, New York State (Less City) (1959-1961)",893,216,216,1.08,"  USA, New York State (Less City) (1959-1961)",661,242.6,242.6,1.21,"  USA, New York State (Less City) (1959-1961)",458,296.3,296.3,1.48,"  USA, New York State (Less City) (1959-1961)",326,327.5,327.5,..,
,,14591,382.2,363.1,0,0,2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.2,0,0,14,11.3,11.4,0.05,0,82,37.8,37.9,0.19,0,316,147.2,147.4,0.74,0,759,317.4,318,1.6,0,1405,682.1,683.4,3.41,0,1844,923.5,925.4,4.64,0,1678,987.3,989.4,4.95,0,1555,1065.5,1068.5,5.34,0,1543,1103,1105.1,5.53,0,1607,1218.3,1220.6,6.1,0,1427,1349.2,1351.4,6.74,0,1109,1632.9,1635.4,8.17,0,725,1706.7,1709.4,8.54,0,510,1900.9,1904.8,0,
Asia,Israel (1960-1963),2070,46.8,49.6,..,  Israel (1960-1963),0,0,0,0,Israel (1960-1963),0,0,0,0,Israel (1960-1963),1,0.2,0.2,0,Israel (1960-1963),3,0.8,0.8,0,Israel (1960-1963),3,1,1,0.01,Israel (1960-1963),20,6.7,6.7,0.03,Israel (1960-1963),71,24.4,24.7,0.12,Israel (1960-1963),158,53.7,54.3,0.27,Israel (1960-1963),240,97.7,98.8,0.49,Israel (1960-1963),325,126.3,127.7,0.64,Israel (1960-1963),381,156.6,158.3,0.79,  Israel (1960-1963),263,149.7,151.4,0.76,Israel (1960-1963),247,166.7,168.6,0.84,Israel (1960-1963),132,143.6,145.2,0.73,Israel (1960-1963),101,141.4,143,0.71,Israel (1960-1963),101,141.4,143,0.71,  Israel (1960-1963),31,136.7,138.2,0.69,Israel (1960-1963),14,106.4,107.6,..,
