,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,
Asia," China, Jiaxing City",709,55.1 (2.07),33.8 (1.30),..," China, Jiaxing City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Jiaxing City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Jiaxing City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Jiaxing City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Jiaxing City",1,1.1 (1.09),1.1 (1.09),0.01 (0.005)," China, Jiaxing City",7,7.7 (2.90),7.7 (2.90),0.04 (0.015)," China, Jiaxing City",17,20.9 (5.06),20.9 (5.06),0.10 (0.025)," China, Jiaxing City",40,38.2 (6.04),38.2 (6.04),0.19 (0.030)," China, Jiaxing City",95,73.9 (7.58),73.9 (7.58),0.37 (0.038)," China, Jiaxing City",120,95.8 (8.74),95.8 (8.74),0.48 (0.044)," China, Jiaxing City",103,102.3 (10.08),102.3 (10.08),0.51 (0.050)," China, Jiaxing City",99,102.4 (10.30),102.4 (10.30),0.51 (0.051)," China, Jiaxing City",63,84.3 (10.63),84.3 (10.63),0.42 (0.053)," China, Jiaxing City",52,98.7 (13.68),98.7 (13.68),0.49 (0.068)," China, Jiaxing City",55,120.3 (16.22),120.3 (16.22),0.60 (0.081)," China, Jiaxing City",26,67.0 (13.15),67.0 (13.15),0.34 (0.066)," China, Jiaxing City",20,86.5 (19.35),86.5 (19.35),0.43 (0.097)," China, Jiaxing City",11,71.8 (21.66),71.8 (21.66),..,
Asia," China, Lianyungang",844,37.1 (1.28),27.2 (0.94),..," China, Lianyungang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Lianyungang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Lianyungang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Lianyungang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Lianyungang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Lianyungang",10,4.7 (1.49),4.7 (1.49),0.02 (0.007)," China, Lianyungang",28,13.2 (2.50),13.2 (2.50),0.07 (0.013)," China, Lianyungang",60,32.9 (4.25),32.9 (4.25),0.16 (0.021)," China, Lianyungang",122,72.3 (6.55),72.3 (6.55),0.36 (0.033)," China, Lianyungang",172,86.4 (6.59),86.4 (6.59),0.43 (0.033)," China, Lianyungang",128,80.4 (7.10),80.4 (7.10),0.40 (0.036)," China, Lianyungang",120,105.4 (9.63),105.4 (9.63),0.53 (0.048)," China, Lianyungang",75,60.6 (7.00),60.6 (7.00),0.30 (0.035)," China, Lianyungang",45,51.4 (7.66),51.4 (7.66),0.26 (0.038)," China, Lianyungang",42,70.3 (10.84),70.3 (10.84),0.35 (0.054)," China, Lianyungang",28,64.4 (12.17),64.4 (12.17),0.32 (0.061)," China, Lianyungang",8,25.5 (9.01),25.5 (9.01),0.13 (0.045)," China, Lianyungang",6,25.2 (10.30),25.2 (10.30),..,
Asia," China, Linzhou County",778,30.3 (1.09),23.9 (0.87),..," China, Linzhou County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Linzhou County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Linzhou County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Linzhou County",1,0.6 (0.63),0.6 (0.63),0.00 (0.003)," China, Linzhou County",4,1.2 (0.61),1.2 (0.61),0.01 (0.003)," China, Linzhou County",14,7.7 (2.06),7.7 (2.06),0.04 (0.010)," China, Linzhou County",16,11.3 (2.84),11.3 (2.84),0.06 (0.014)," China, Linzhou County",87,46.4 (4.97),46.4 (4.97),0.23 (0.025)," China, Linzhou County",104,48.3 (4.74),48.3 (4.74),0.24 (0.024)," China, Linzhou County",104,56.6 (5.55),56.6 (5.55),0.28 (0.028)," China, Linzhou County",96,62.3 (6.36),62.3 (6.36),0.31 (0.032)," China, Linzhou County",123,69.5 (6.27),69.5 (6.27),0.35 (0.031)," China, Linzhou County",98,69.9 (7.06),69.9 (7.06),0.35 (0.035)," China, Linzhou County",47,67.6 (9.86),67.6 (9.86),0.34 (0.049)," China, Linzhou County",41,81.4 (12.72),81.4 (12.72),0.41 (0.064)," China, Linzhou County",24,56.4 (11.50),56.4 (11.50),0.28 (0.058)," China, Linzhou County",15,65.3 (16.86),65.3 (16.86),0.33 (0.084)," China, Linzhou County",4,32.8 (16.40),32.8 (16.40),..,
Asia," China, Liuzhou",1017,50.3 (1.58),37.1 (1.18),..," China, Liuzhou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Liuzhou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Liuzhou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Liuzhou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Liuzhou",3,1.8 (1.03),1.8 (1.03),0.01 (0.005)," China, Liuzhou",4,2.3 (1.17),2.3 (1.17),0.01 (0.006)," China, Liuzhou",36,19.7 (3.29),19.7 (3.29),0.10 (0.016)," China, Liuzhou",94,46.8 (4.83),46.8 (4.83),0.23 (0.024)," China, Liuzhou",139,71.8 (6.09),71.8 (6.09),0.36 (0.030)," China, Liuzhou",185,111.2 (8.18),111.2 (8.18),0.56 (0.041)," China, Liuzhou",170,132.2 (10.14),132.2 (10.14),0.66 (0.051)," China, Liuzhou",131,105.9 (9.25),105.9 (9.25),0.53 (0.046)," China, Liuzhou",114,131.4 (12.31),131.4 (12.31),0.66 (0.062)," China, Liuzhou",51,87.0 (12.18),87.0 (12.18),0.43 (0.061)," China, Liuzhou",45,86.2 (12.85),86.2 (12.85),0.43 (0.064)," China, Liuzhou",32,86.6 (15.31),86.6 (15.31),0.43 (0.077)," China, Liuzhou",8,36.3 (12.83),36.3 (12.83),0.18 (0.064)," China, Liuzhou",5,52.4 (23.43),52.4 (23.43),..,
Asia," China, Maanshan",592,38.0 (1.56),28.1 (1.17),..," China, Maanshan",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Maanshan",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Maanshan",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Maanshan",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Maanshan",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Maanshan",4,3.0 (1.52),3.0 (1.52),0.02 (0.008)," China, Maanshan",13,8.1 (2.24),8.1 (2.24),0.04 (0.011)," China, Maanshan",42,23.9 (3.68),23.9 (3.68),0.12 (0.018)," China, Maanshan",95,65.7 (6.74),65.7 (6.74),0.33 (0.034)," China, Maanshan",131,110.5 (9.66),110.5 (9.66),0.55 (0.048)," China, Maanshan",67,69.3 (8.47),69.3 (8.47),0.35 (0.042)," China, Maanshan",73,84.2 (9.86),84.2 (9.86),0.42 (0.049)," China, Maanshan",54,75.3 (10.24),75.3 (10.24),0.38 (0.051)," China, Maanshan",35,62.4 (10.55),62.4 (10.55),0.31 (0.053)," China, Maanshan",45,110.4 (16.46),110.4 (16.46),0.55 (0.082)," China, Maanshan",19,80.1 (18.37),80.1 (18.37),0.40 (0.092)," China, Maanshan",9,69.8 (23.27),69.8 (23.27),0.35 (0.116)," China, Maanshan",5,66.9 (29.91),66.9 (29.91),..,
Asia," China, Qidong County",932,32.8 (1.07),18.1 (0.62),..," China, Qidong County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Qidong County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Qidong County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Qidong County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Qidong County",5,3.1 (1.38),3.1 (1.38),0.02 (0.007)," China, Qidong County",6,4.0 (1.64),4.0 (1.64),0.02 (0.008)," China, Qidong County",14,8.6 (2.30),8.6 (2.30),0.04 (0.011)," China, Qidong County",37,18.8 (3.09),18.8 (3.09),0.09 (0.015)," China, Qidong County",93,33.9 (3.52),33.9 (3.52),0.17 (0.018)," China, Qidong County",157,52.0 (4.15),52.0 (4.15),0.26 (0.021)," China, Qidong County",156,58.1 (4.65),58.1 (4.65),0.29 (0.023)," China, Qidong County",144,57.8 (4.81),57.8 (4.81),0.29 (0.024)," China, Qidong County",96,50.9 (5.20),50.9 (5.20),0.25 (0.026)," China, Qidong County",69,54.8 (6.60),54.8 (6.60),0.27 (0.033)," China, Qidong County",59,49.3 (6.42),49.3 (6.42),0.25 (0.032)," China, Qidong County",49,48.9 (6.98),48.9 (6.98),0.24 (0.035)," China, Qidong County",36,52.6 (8.76),52.6 (8.76),0.26 (0.044)," China, Qidong County",11,20.7 (6.23),20.7 (6.23),..,
Asia," China, Shanghai City",12223,78.6 (0.71),41.6 (0.42),..," China, Shanghai City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shanghai City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shanghai City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shanghai City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shanghai City",18,1.5 (0.36),1.5 (0.36),0.01 (0.002)," China, Shanghai City",83,6.4 (0.70),6.4 (0.70),0.03 (0.004)," China, Shanghai City",163,16.9 (1.32),16.9 (1.32),0.08 (0.007)," China, Shanghai City",285,35.1 (2.08),35.1 (2.08),0.18 (0.010)," China, Shanghai City",621,75.1 (3.01),75.1 (3.01),0.38 (0.015)," China, Shanghai City",1489,118.5 (3.07),118.5 (3.07),0.59 (0.015)," China, Shanghai City",2390,129.3 (2.64),129.3 (2.64),0.65 (0.013)," China, Shanghai City",2133,124.0 (2.69),124.0 (2.69),0.62 (0.013)," China, Shanghai City",1472,135.7 (3.54),135.7 (3.54),0.68 (0.018)," China, Shanghai City",915,144.9 (4.79),144.9 (4.79),0.72 (0.024)," China, Shanghai City",844,140.5 (4.84),140.5 (4.84),0.70 (0.024)," China, Shanghai City",900,124.5 (4.15),124.5 (4.15),0.62 (0.021)," China, Shanghai City",555,108.0 (4.58),108.0 (4.58),0.54 (0.023)," China, Shanghai City",355,93.6 (4.97),93.6 (4.97),..,
Asia," China, Shenyang",5882,64.1 (0.84),38.3 (0.51),..," China, Shenyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shenyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shenyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Shenyang",1,0.2 (0.23),0.2 (0.23),0.00 (0.001)," China, Shenyang",8,1.3 (0.46),1.3 (0.46),0.01 (0.002)," China, Shenyang",38,4.8 (0.78),4.8 (0.78),0.02 (0.004)," China, Shenyang",131,17.8 (1.56),17.8 (1.56),0.09 (0.008)," China, Shenyang",283,38.0 (2.26),38.0 (2.26),0.19 (0.011)," China, Shenyang",604,74.5 (3.03),74.5 (3.03),0.37 (0.015)," China, Shenyang",1042,109.9 (3.41),109.9 (3.41),0.55 (0.017)," China, Shenyang",1079,126.9 (3.86),126.9 (3.86),0.63 (0.019)," China, Shenyang",1023,141.0 (4.41),141.0 (4.41),0.70 (0.022)," China, Shenyang",535,115.1 (4.98),115.1 (4.98),0.58 (0.025)," China, Shenyang",409,114.8 (5.68),114.8 (5.68),0.57 (0.028)," China, Shenyang",340,92.9 (5.04),92.9 (5.04),0.46 (0.025)," China, Shenyang",247,85.1 (5.41),85.1 (5.41),0.43 (0.027)," China, Shenyang",105,70.4 (6.87),70.4 (6.87),0.35 (0.034)," China, Shenyang",37,49.8 (8.19),49.8 (8.19),..,
Asia,"*China, Shexian County",190,19.6 (1.42),15.2 (1.13),..,"*China, Shexian County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*China, Shexian County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*China, Shexian County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*China, Shexian County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*China, Shexian County",1,0.8 (0.83),0.8 (0.84),0.00 (0.004),"*China, Shexian County",2,2.4 (1.69),2.4 (1.70),0.01 (0.008),"*China, Shexian County",4,6.9 (3.44),6.9 (3.45),0.03 (0.017),"*China, Shexian County",12,16.0 (4.61),16.1 (4.63),0.08 (0.023),"*China, Shexian County",18,19.8 (4.66),19.9 (4.69),0.10 (0.023),"*China, Shexian County",35,44.4 (7.50),44.6 (7.54),0.22 (0.038),"*China, Shexian County",33,53.2 (9.26),53.5 (9.31),0.27 (0.047),"*China, Shexian County",39,67.0 (10.73),67.4 (10.79),0.34 (0.054),"*China, Shexian County",25,53.8 (10.77),54.1 (10.82),0.27 (0.054),"*China, Shexian County",8,30.5 (10.78),30.6 (10.83),0.15 (0.054),"*China, Shexian County",5,29.6 (13.22),29.7 (13.29),0.15 (0.066),"*China, Shexian County",4,31.4 (15.69),31.6 (15.78),0.16 (0.079),"*China, Shexian County",2,32.4 (22.89),32.5 (23.01),0.16 (0.115),"*China, Shexian County",1,37.0 (37.04),37.2 (37.23),..,
Asia," China, Sheyang",679,28.7 (1.10),19.1 (0.74),..," China, Sheyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Sheyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Sheyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Sheyang",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Sheyang",2,1.3 (0.93),1.3 (0.93),0.01 (0.005)," China, Sheyang",8,4.4 (1.56),4.4 (1.56),0.02 (0.008)," China, Sheyang",19,9.2 (2.10),9.2 (2.10),0.05 (0.011)," China, Sheyang",40,20.7 (3.27),20.7 (3.27),0.10 (0.016)," China, Sheyang",93,46.4 (4.81),46.4 (4.81),0.23 (0.024)," China, Sheyang",120,59.3 (5.41),59.3 (5.41),0.30 (0.027)," China, Sheyang",106,61.0 (5.92),61.0 (5.92),0.30 (0.030)," China, Sheyang",111,71.0 (6.74),71.0 (6.74),0.35 (0.034)," China, Sheyang",64,47.4 (5.92),47.4 (5.92),0.24 (0.030)," China, Sheyang",35,33.2 (5.61),33.2 (5.61),0.17 (0.028)," China, Sheyang",45,58.2 (8.68),58.2 (8.68),0.29 (0.043)," China, Sheyang",17,28.1 (6.82),28.1 (6.82),0.14 (0.034)," China, Sheyang",12,33.0 (9.52),33.0 (9.52),0.16 (0.048)," China, Sheyang",7,28.6 (10.81),28.6 (10.81),..,
Asia," China, Tongling City",327,29.9 (1.66),23.0 (1.29),..," China, Tongling City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Tongling City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Tongling City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Tongling City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Tongling City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Tongling City",4,4.2 (2.08),4.2 (2.08),0.02 (0.010)," China, Tongling City",10,8.5 (2.69),8.5 (2.69),0.04 (0.013)," China, Tongling City",18,14.9 (3.52),14.9 (3.52),0.07 (0.018)," China, Tongling City",61,61.9 (7.93),61.9 (7.93),0.31 (0.040)," China, Tongling City",59,62.6 (8.15),62.6 (8.15),0.31 (0.041)," China, Tongling City",52,86.3 (11.96),86.3 (11.96),0.43 (0.060)," China, Tongling City",34,59.4 (10.19),59.4 (10.19),0.30 (0.051)," China, Tongling City",25,53.4 (10.67),53.4 (10.67),0.27 (0.053)," China, Tongling City",24,68.0 (13.89),68.0 (13.89),0.34 (0.069)," China, Tongling City",19,78.4 (17.98),78.4 (17.98),0.39 (0.090)," China, Tongling City",16,101.8 (25.44),101.8 (25.44),0.51 (0.127)," China, Tongling City",5,64.5 (28.84),64.5 (28.84),0.32 (0.144)," China, Tongling City",0,0.0 (0.00),0.0 (0.00),..,
Asia," China, Wuhan City",6023,51.3 (0.66),33.4 (0.44),..," China, Wuhan City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuhan City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuhan City",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuhan City",2,0.3 (0.21),0.3 (0.21),0.00 (0.001)," China, Wuhan City",11,0.8 (0.24),0.8 (0.24),0.00 (0.001)," China, Wuhan City",50,4.5 (0.64),4.5 (0.64),0.02 (0.003)," China, Wuhan City",141,17.6 (1.48),17.6 (1.48),0.09 (0.007)," China, Wuhan City",331,40.1 (2.20),40.1 (2.20),0.20 (0.011)," China, Wuhan City",586,61.9 (2.56),61.9 (2.56),0.31 (0.013)," China, Wuhan City",963,90.9 (2.93),90.9 (2.93),0.45 (0.015)," China, Wuhan City",1025,104.3 (3.26),104.3 (3.26),0.52 (0.016)," China, Wuhan City",1006,112.0 (3.53),112.0 (3.53),0.56 (0.018)," China, Wuhan City",668,107.8 (4.17),107.8 (4.17),0.54 (0.021)," China, Wuhan City",403,99.0 (4.93),99.0 (4.93),0.49 (0.025)," China, Wuhan City",362,91.6 (4.81),91.6 (4.81),0.46 (0.024)," China, Wuhan City",290,92.2 (5.41),92.2 (5.41),0.46 (0.027)," China, Wuhan City",130,77.8 (6.83),77.8 (6.83),0.39 (0.034)," China, Wuhan City",55,46.7 (6.30),46.7 (6.30),..,
Asia," China, Wuxi",1583,43.8 (1.10),26.6 (0.69),..," China, Wuxi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuxi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuxi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuxi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Wuxi",1,0.4 (0.35),0.4 (0.35),0.00 (0.002)," China, Wuxi",11,4.0 (1.22),4.0 (1.22),0.02 (0.006)," China, Wuxi",45,16.0 (2.38),16.0 (2.38),0.08 (0.012)," China, Wuxi",82,28.6 (3.16),28.6 (3.16),0.14 (0.016)," China, Wuxi",195,60.2 (4.31),60.2 (4.31),0.30 (0.022)," China, Wuxi",222,66.4 (4.45),66.4 (4.45),0.33 (0.022)," China, Wuxi",229,92.4 (6.11),92.4 (6.11),0.46 (0.031)," China, Wuxi",248,82.2 (5.22),82.2 (5.22),0.41 (0.026)," China, Wuxi",180,72.1 (5.38),72.1 (5.38),0.36 (0.027)," China, Wuxi",135,85.1 (7.32),85.1 (7.32),0.43 (0.037)," China, Wuxi",86,69.1 (7.45),69.1 (7.45),0.35 (0.037)," China, Wuxi",71,68.9 (8.17),68.9 (8.17),0.34 (0.041)," China, Wuxi",45,61.7 (9.21),61.7 (9.21),0.31 (0.046)," China, Wuxi",33,58.4 (10.17),58.4 (10.17),..,
Asia," China, Xianju",132,18.4 (1.60),12.7 (1.14),..," China, Xianju",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xianju",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xianju",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xianju",1,2.0 (1.96),2.0 (1.96),0.01 (0.010)," China, Xianju",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xianju",1,2.6 (2.57),2.6 (2.57),0.01 (0.013)," China, Xianju",6,14.2 (5.82),14.2 (5.82),0.07 (0.029)," China, Xianju",13,19.0 (5.27),19.0 (5.27),0.09 (0.026)," China, Xianju",24,30.9 (6.31),30.9 (6.31),0.15 (0.032)," China, Xianju",26,36.6 (7.18),36.6 (7.18),0.18 (0.036)," China, Xianju",19,42.1 (9.67),42.1 (9.67),0.21 (0.048)," China, Xianju",17,37.2 (9.03),37.2 (9.03),0.19 (0.045)," China, Xianju",8,24.6 (8.69),24.6 (8.69),0.12 (0.043)," China, Xianju",5,25.9 (11.58),25.9 (11.58),0.13 (0.058)," China, Xianju",5,25.4 (11.34),25.4 (11.34),0.13 (0.057)," China, Xianju",3,16.7 (9.65),16.7 (9.65),0.08 (0.048)," China, Xianju",4,39.4 (19.68),39.4 (19.68),0.20 (0.098)," China, Xianju",0,0.0 (0.00),0.0 (0.00),..,
Asia," China, Xiping",364,28.9 (1.51),23.9 (1.28),..," China, Xiping",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xiping",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xiping",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xiping",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Xiping",1,1.1 (1.05),1.1 (1.05),0.01 (0.005)," China, Xiping",5,4.8 (2.13),4.8 (2.13),0.02 (0.011)," China, Xiping",9,8.2 (2.73),8.2 (2.73),0.04 (0.014)," China, Xiping",28,24.1 (4.55),24.1 (4.55),0.12 (0.023)," China, Xiping",58,53.7 (7.05),53.7 (7.05),0.27 (0.035)," China, Xiping",77,75.4 (8.59),75.4 (8.59),0.38 (0.043)," China, Xiping",47,68.3 (9.97),68.3 (9.97),0.34 (0.050)," China, Xiping",61,115.5 (14.79),115.5 (14.79),0.58 (0.074)," China, Xiping",37,84.9 (13.96),84.9 (13.96),0.42 (0.070)," China, Xiping",19,43.8 (10.04),43.8 (10.04),0.22 (0.050)," China, Xiping",12,32.5 (9.38),32.5 (9.38),0.16 (0.047)," China, Xiping",5,18.0 (8.05),18.0 (8.05),0.09 (0.040)," China, Xiping",3,18.4 (10.63),18.4 (10.63),0.09 (0.053)," China, Xiping",2,19.6 (13.89),19.6 (13.89),..,
Asia," China, Yanshi",351,38.7 (2.06),31.4 (1.70),..," China, Yanshi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanshi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanshi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanshi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanshi",4,5.8 (2.88),5.8 (2.88),0.03 (0.014)," China, Yanshi",3,4.5 (2.63),4.5 (2.63),0.02 (0.013)," China, Yanshi",7,10.6 (4.01),10.6 (4.01),0.05 (0.020)," China, Yanshi",29,40.3 (7.49),40.3 (7.49),0.20 (0.037)," China, Yanshi",37,51.9 (8.53),51.9 (8.53),0.26 (0.043)," China, Yanshi",56,82.5 (11.02),82.5 (11.02),0.41 (0.055)," China, Yanshi",61,110.3 (14.12),110.3 (14.12),0.55 (0.071)," China, Yanshi",53,109.3 (15.01),109.3 (15.01),0.55 (0.075)," China, Yanshi",35,95.7 (16.17),95.7 (16.17),0.48 (0.081)," China, Yanshi",27,99.8 (19.21),99.8 (19.21),0.50 (0.096)," China, Yanshi",20,88.7 (19.84),88.7 (19.84),0.44 (0.099)," China, Yanshi",10,56.6 (17.90),56.6 (17.90),0.28 (0.089)," China, Yanshi",6,49.6 (20.24),49.6 (20.24),0.25 (0.101)," China, Yanshi",3,39.2 (22.65),39.2 (22.65),..,
Asia," China, Yanting County",225,15.5 (1.03),12.7 (0.85),..," China, Yanting County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanting County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanting County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanting County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanting County",5,3.4 (1.52),3.4 (1.52),0.02 (0.008)," China, Yanting County",12,8.0 (2.32),8.0 (2.32),0.04 (0.012)," China, Yanting County",15,11.2 (2.90),11.2 (2.90),0.06 (0.014)," China, Yanting County",27,21.7 (4.18),21.7 (4.18),0.11 (0.021)," China, Yanting County",39,38.1 (6.11),38.1 (6.11),0.19 (0.031)," China, Yanting County",36,38.9 (6.48),38.9 (6.48),0.19 (0.032)," China, Yanting County",35,41.8 (7.06),41.8 (7.06),0.21 (0.035)," China, Yanting County",24,32.0 (6.53),32.0 (6.53),0.16 (0.033)," China, Yanting County",17,25.6 (6.20),25.6 (6.20),0.13 (0.031)," China, Yanting County",10,19.5 (6.18),19.5 (6.18),0.10 (0.031)," China, Yanting County",4,10.7 (5.34),10.7 (5.34),0.05 (0.027)," China, Yanting County",1,4.3 (4.25),4.3 (4.25),0.02 (0.021)," China, Yanting County",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yanting County",0,0.0 (0.00),0.0 (0.00),..,
Asia," China, Yueyanglou",316,30.8 (1.73),30.6 (1.77),..," China, Yueyanglou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yueyanglou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yueyanglou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yueyanglou",0,0.0 (0.00),0.0 (0.00),0.00 (0.000)," China, Yueyanglou",3,3.8 (2.17),3.8 (2.17),0.02 (0.011)," China, Yueyanglou",8,6.6 (2.32),6.6 (2.32),0.03 (0.012)," China, Yueyanglou",16,12.3 (3.07),12.3 (3.07),0.06 (0.015)," China, Yueyanglou",24,23.3 (4.76),23.3 (4.76),0.12 (0.024)," China, Yueyanglou",51,77.8 (10.90),77.8 (10.90),0.39 (0.054)," China, Yueyanglou",72,104.2 (12.28),104.2 (12.28),0.52 (0.061)," China, Yueyanglou",41,79.7 (12.45),79.7 (12.45),0.40 (0.062)," China, Yueyanglou",40,119.7 (18.93),119.7 (18.93),0.60 (0.095)," China, Yueyanglou",24,80.7 (16.47),80.7 (16.47),0.40 (0.082)," China, Yueyanglou",20,87.7 (19.62),87.7 (19.62),0.44 (0.098)," China, Yueyanglou",6,41.5 (16.95),41.5 (16.95),0.21 (0.085)," China, Yueyanglou",8,86.0 (30.40),86.0 (30.40),0.43 (0.152)," China, Yueyanglou",2,40.4 (28.54),40.4 (28.54),0.20 (0.143)," China, Yueyanglou",1,35.0 (34.97),35.0 (34.97),..,
