,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"  Brazil, Goiania (1990-1993)",548,28.3,40.4,..,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",0,0,0,0,"  Brazil, Goiania (1990-1993)",1,0.5,0.5,0,"  Brazil, Goiania (1990-1993)",3,1.4,1.4,0.01,"  Brazil, Goiania (1990-1993)",8,4,4.1,0.02,"  Brazil, Goiania (1990-1993)",23,13.5,13.6,0.07,"  Brazil, Goiania (1990-1993)",46,32.8,32.9,0.16,"  Brazil, Goiania (1990-1993)",76,69.3,69.5,0.35,"  Brazil, Goiania (1990-1993)",96,115.8,116.2,0.58,"  Brazil, Goiania (1990-1993)",80,126.6,127.1,0.64,"  Brazil, Goiania (1990-1993)",59,114.5,114.9,0.57,"  Brazil, Goiania (1990-1993)",43,106.3,106.7,0.53,"  Brazil, Goiania (1990-1993)",31,105.8,106.2,0.53,"  Brazil, Goiania (1990-1993)",37,..,..,..,"  Brazil, Goiania (1990-1993)",22,..,..,..,"  Brazil, Goiania (1990-1993)",17,..,..,..,"  Brazil, Goiania (1990-1993)",4,..,..,..,
South America,"  Brazil, Porto Alegre (1990-1992)",1334,66,62,..,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",0,0,0,0,"  Brazil, Porto Alegre (1990-1992)",7,4.3,4.6,0.02,"  Brazil, Porto Alegre (1990-1992)",11,6,6.3,0.03,"  Brazil, Porto Alegre (1990-1992)",28,15.6,16.4,0.08,"  Brazil, Porto Alegre (1990-1992)",66,40.2,42.3,0.21,"  Brazil, Porto Alegre (1990-1992)",105,75.5,79.3,0.4,"  Brazil, Porto Alegre (1990-1992)",175,157.2,165.3,0.83,"  Brazil, Porto Alegre (1990-1992)",132,138.7,145.8,0.73,"  Brazil, Porto Alegre (1990-1992)",146,169.2,177.8,0.89,"  Brazil, Porto Alegre (1990-1992)",164,206.7,217.3,1.09,"  Brazil, Porto Alegre (1990-1992)",154,263,276.5,1.38,"  Brazil, Porto Alegre (1990-1992)",113,266.9,280.5,1.4,"  Brazil, Porto Alegre (1990-1992)",78,..,..,..,"  Brazil, Porto Alegre (1990-1992)",49,..,..,..,"  Brazil, Porto Alegre (1990-1992)",41,..,..,..,
South America,"  Colombia, Cali (1987-1991)",1151,29.4,38.8,..,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",0,0,0,0,"  Colombia, Cali (1987-1991)",3,0.7,0.7,0,"  Colombia, Cali (1987-1991)",16,3.9,4.2,0.02,"  Colombia, Cali (1987-1991)",60,17.4,18.7,0.09,"  Colombia, Cali (1987-1991)",78,27.6,29.6,0.15,"  Colombia, Cali (1987-1991)",132,64.5,69.1,0.35,"  Colombia, Cali (1987-1991)",133,81,86.8,0.43,"  Colombia, Cali (1987-1991)",131,90.7,97.2,0.49,"  Colombia, Cali (1987-1991)",112,98.9,106,0.53,"  Colombia, Cali (1987-1991)",119,123.4,132.2,0.66,"  Colombia, Cali (1987-1991)",97,144.7,155.1,0.78,"  Colombia, Cali (1987-1991)",83,169.2,181.3,0.91,"  Colombia, Cali (1987-1991)",55,173.1,185.5,0.93,"  Colombia, Cali (1987-1991)",28,138.4,148.3,0.74,"  Colombia, Cali (1987-1991)",27,165.3,177.2,..,
South America,  Costa Rica (1988-1992),1513,20.3,28.8,..,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),0,0,0,0,  Costa Rica (1988-1992),5,0.7,0.7,0,  Costa Rica (1988-1992),21,3,3,0.02,  Costa Rica (1988-1992),60,10,10.1,0.05,  Costa Rica (1988-1992),112,23.5,23.5,0.12,  Costa Rica (1988-1992),171,46.2,46.4,0.23,  Costa Rica (1988-1992),201,70.2,70.5,0.35,  Costa Rica (1988-1992),159,67.3,67.5,0.34,  Costa Rica (1988-1992),184,91,91.4,0.46,  Costa Rica (1988-1992),159,95.9,96.3,0.48,  Costa Rica (1988-1992),130,100.5,100.9,0.5,  Costa Rica (1988-1992),111,115.2,115.7,0.58,  Costa Rica (1988-1992),99,..,..,..,  Costa Rica (1988-1992),43,..,..,..,  Costa Rica (1988-1992),52,..,..,..,
South America,"  Ecuador, Quito (1988-1992)",580,18.7,26.8,..,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",0,0,0,0,"  Ecuador, Quito (1988-1992)",1,0.3,0.3,0,"  Ecuador, Quito (1988-1992)",5,1.6,1.6,0.01,"  Ecuador, Quito (1988-1992)",21,7.9,7.9,0.04,"  Ecuador, Quito (1988-1992)",59,27.6,27.6,0.14,"  Ecuador, Quito (1988-1992)",74,46.6,46.6,0.23,"  Ecuador, Quito (1988-1992)",60,50.2,50.3,0.25,"  Ecuador, Quito (1988-1992)",78,82.6,82.7,0.41,"  Ecuador, Quito (1988-1992)",70,93.5,93.6,0.47,"  Ecuador, Quito (1988-1992)",62,94.8,95,0.47,"  Ecuador, Quito (1988-1992)",45,91.8,92,0.46,"  Ecuador, Quito (1988-1992)",40,109.5,109.7,0.55,"  Ecuador, Quito (1988-1992)",23,87.4,87.5,0.44,"  Ecuador, Quito (1988-1992)",23,124.9,125.1,0.63,"  Ecuador, Quito (1988-1992)",18,121.6,121.8,..,
South America,"  Peru, Lima (1990-1991)",1521,24.5,32.3,..,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",0,0,0,0,"  Peru, Lima (1990-1991)",2,0.3,0.3,0,"  Peru, Lima (1990-1991)",6,0.9,0.9,0,"  Peru, Lima (1990-1991)",24,4.1,4.1,0.02,"  Peru, Lima (1990-1991)",74,14.2,14.2,0.07,"  Peru, Lima (1990-1991)",139,31.3,31.3,0.16,"  Peru, Lima (1990-1991)",191,54.4,54.5,0.27,"  Peru, Lima (1990-1991)",187,70.4,70.5,0.35,"  Peru, Lima (1990-1991)",172,81.6,81.7,0.41,"  Peru, Lima (1990-1991)",179,104.9,105.1,0.53,"  Peru, Lima (1990-1991)",174,117.1,117.2,0.59,"  Peru, Lima (1990-1991)",143,130.6,130.8,0.65,"  Peru, Lima (1990-1991)",93,121.2,121.4,0.61,"  Peru, Lima (1990-1991)",71,134.6,134.7,0.67,"  Peru, Lima (1990-1991)",38,108.8,109,0.54,"  Peru, Lima (1990-1991)",26,90.3,90.4,..,
South America,"  Peru, Trujillo (1988-1990)",160,22.3,29.7,..,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",0,0,0,0,"  Peru, Trujillo (1988-1990)",1,1.5,1.6,0.01,"  Peru, Trujillo (1988-1990)",7,12.5,12.9,0.06,"  Peru, Trujillo (1988-1990)",19,40.8,42.1,0.21,"  Peru, Trujillo (1988-1990)",19,50.2,51.9,0.26,"  Peru, Trujillo (1988-1990)",29,95.1,98.1,0.49,"  Peru, Trujillo (1988-1990)",26,106.5,110,0.55,"  Peru, Trujillo (1988-1990)",18,97.2,100.3,0.5,"  Peru, Trujillo (1988-1990)",7,44.6,46,0.23,"  Peru, Trujillo (1988-1990)",10,84.8,87.6,0.44,"  Peru, Trujillo (1988-1990)",7,80.1,82.7,0.41,"  Peru, Trujillo (1988-1990)",4,65.2,67.3,0.34,"  Peru, Trujillo (1988-1990)",6,137.3,141.7,0.71,"  Peru, Trujillo (1988-1990)",2,51.4,53.1,..,
South America,"  Uruguay, Montevideo (1990-1992)",3118,142.9,92.6,..,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",0,0,0,0,"  Uruguay, Montevideo (1990-1992)",4,2.6,2.6,0.01,"  Uruguay, Montevideo (1990-1992)",8,5.1,5.1,0.03,"  Uruguay, Montevideo (1990-1992)",46,29.2,29.2,0.15,"  Uruguay, Montevideo (1990-1992)",85,60.8,60.8,0.3,"  Uruguay, Montevideo (1990-1992)",140,110.8,110.8,0.55,"  Uruguay, Montevideo (1990-1992)",234,193.3,193.3,0.97,"  Uruguay, Montevideo (1990-1992)",274,230.8,230.8,1.15,"  Uruguay, Montevideo (1990-1992)",339,274.1,274.1,1.37,"  Uruguay, Montevideo (1990-1992)",423,341.3,341.3,1.71,"  Uruguay, Montevideo (1990-1992)",433,402.1,402.1,2.01,"  Uruguay, Montevideo (1990-1992)",413,496.3,496.3,2.48,"  Uruguay, Montevideo (1990-1992)",325,486.6,486.6,2.43,"  Uruguay, Montevideo (1990-1992)",213,498.5,498.5,2.49,"  Uruguay, Montevideo (1990-1992)",181,564.5,564.5,..,
South America,"  USA, Puerto Rico (1988-1991)",3770,52.1,45.7,..,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",0,0,0,0,"  USA, Puerto Rico (1988-1991)",1,0.2,0.2,0,"  USA, Puerto Rico (1988-1991)",3,0.5,0.5,0,"  USA, Puerto Rico (1988-1991)",27,4.9,4.9,0.02,"  USA, Puerto Rico (1988-1991)",89,17,17,0.09,"  USA, Puerto Rico (1988-1991)",208,41.8,41.9,0.21,"  USA, Puerto Rico (1988-1991)",383,78.2,78.5,0.39,"  USA, Puerto Rico (1988-1991)",414,101.1,101.4,0.51,"  USA, Puerto Rico (1988-1991)",370,105.8,106.1,0.53,"  USA, Puerto Rico (1988-1991)",451,149.5,149.9,0.75,"  USA, Puerto Rico (1988-1991)",445,162.1,162.5,0.81,"  USA, Puerto Rico (1988-1991)",434,179.9,180.4,0.9,"  USA, Puerto Rico (1988-1991)",343,185.2,185.7,0.93,"  USA, Puerto Rico (1988-1991)",277,..,..,..,"  USA, Puerto Rico (1988-1991)",170,..,..,..,"  USA, Puerto Rico (1988-1991)",145,..,..,..,
,,14311,482.2,487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,35,12.7,13.1,0.05,0,127,47.7,48.6,0.25,0,429,167.8,171.2,0.85,0,851,382.4,389.5,1.95,0,1348,707.5,721,3.6,0,1608,1098.5,1121.9,5.61,0,1489,1225.3,1248.6,6.25,0,1619,1436.7,1461.8,7.31,0,1661,1590.1,1618,8.09,0,1539,1933.2,1968,9.83,0,1301,2118.2,2157.1,10.79,0,987,1388.3,1408.5,7.05,0,610,1454.5,1477.1,7.38,0,511,1641,1658.4,0,
North America,Canada (1988-1992),72027,103,76.8,..,Canada (1988-1992),0,0,0,0,Canada (1988-1992),0,0,0,0,  Canada (1988-1992),0,0,0,0,Canada (1988-1992),6,0.1,0.1,0,Canada (1988-1992),43,0.8,0.8,0,Canada (1988-1992),384,6.1,6.1,0.03,Canada (1988-1992),1332,21.1,21.2,0.11,Canada (1988-1992),2954,51.8,51.8,0.26,  Canada (1988-1992),5446,107.6,107.6,0.54,Canada (1988-1992),6507,162.9,162.9,0.81,Canada (1988-1992),6503,199.4,199.5,1,Canada (1988-1992),7125,229,229,1.15,Canada (1988-1992),8724,285.5,285.6,1.43,Canada (1988-1992),9568,332.6,332.7,1.66,Canada (1988-1992),8510,372.8,372.9,1.86,Canada (1988-1992),6983,393.9,394,1.97,Canada (1988-1992),4418,381.5,381.7,1.91,Canada (1988-1992),3503,364.6,364.7,..,
North America,"  USA, California, Los Angeles: Black (1988-1992)",2389,87.7,80.9,..,"  USA, California, Los Angeles: Black (1988-1992)",0,0,0,0,"  USA, California, Los Angeles: Black (1988-1992)",0,0,0,0,"  USA, California, Los Angeles: Black (1988-1992)",0,0,0,0,"  USA, California, Los Angeles: Black (1988-1992)",0,0,0,0,"  USA, California, Los Angeles: Black (1988-1992)",3,1.3,1.3,0.01,"  USA, California, Los Angeles: Black (1988-1992)",36,13.3,13.4,0.07,"  USA, California, Los Angeles: Black (1988-1992)",72,27.5,27.5,0.14,"  USA, California, Los Angeles: Black (1988-1992)",151,67.9,68,0.34,"  USA, California, Los Angeles: Black (1988-1992)",242,130.6,130.6,0.65,"  USA, California, Los Angeles: Black (1988-1992)",284,195,195.1,0.98,"  USA, California, Los Angeles: Black (1988-1992)",254,207.9,208,1.04,"  USA, California, Los Angeles: Black (1988-1992)",254,244,244.1,1.22,"  USA, California, Los Angeles: Black (1988-1992)",255,277,277.1,1.39,"  USA, California, Los Angeles: Black (1988-1992)",280,335.8,335.9,1.68,"  USA, California, Los Angeles: Black (1988-1992)",211,327.4,327.5,1.64,"  USA, California, Los Angeles: Black (1988-1992)",157,319.9,320.1,1.6,"  USA, California, Los Angeles: Black (1988-1992)",113,374.1,374.3,1.87,"  USA, California, Los Angeles: Black (1988-1992)",76,311,311.2,..,
